,ticker,2023,2024,2025,2026
Revenue(In $M),AVY,"8,976","9,509","10,016","10,825"
Dividend,AVY,3.07,3.20,3.26,3.00
Dividend Yield (in %),AVY,1.73 %,1.81 %,1.83 %,1.72 %
EPS,AVY,9.07,10.46,11.60,13.47
P/E Ratio,AVY,18.86,16.35,14.75,12.70
EBIT(In $M),AVY,"1,077","1,215","1,324","1,523"
EBITDA(In $M),AVY,"1,369","1,510","1,621","1,813"
Net Profit(In $M),AVY,735,841,925,"1,114"
Net Profit Adjusted(In $M),AVY,735,841,925,"1,114"
Pre-Tax Profit(In $M),AVY,972,"1,121","1,232","1,499"
Net Profit (Adjusted)(In $M),AVY,989,"1,135","1,259","1,499"
EPS (Non-GAAP) ex. SOE(In $),AVY,9.07,10.46,11.60,13.47
EPS (GAAP)(In $),AVY,8.71,10.23,11.52,13.47
Gross Income(In $M),AVY,"2,475","2,652","2,854","3,011"
Cash Flow from Investing(In $M),AVY,-467,-380,-313,-
Cash Flow from Operations(In $M),AVY,"1,076","1,183","1,246","1,532"
Cash Flow from Financing(In $M),AVY,-515,-813,-965,"-1,163"
Cash Flow per Share(In $),AVY,12.13,13.86,14.69,-
Free Cash Flow(In $M),AVY,675,770,833,"1,158"
Free Cash Flow per Share(In $),AVY,9.77,10.41,12.89,-
Book Value per Share(In $),AVY,30.35,36.90,43.20,68.75
Net Debt(In $M),AVY,"2,839","2,608","2,597",-
Research & Development Exp.(In $M),AVY,-,-,-,-
Capital Expenditure(In $M),AVY,311,299,322,374
"Selling, General & Admin. Exp.(In $M)",AVY,"1,336","1,381","1,446","1,488"
Shareholder’s Equity(In $M),AVY,"2,464","2,968","3,462","5,685"
Total Assets(In $M),AVY,"8,514","8,605","8,851","8,796"
