,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MSI,9112.0,9112.0,8171.0,7414.0,7887.0
Cost of revenue(figures in $M),MSI,4883.0,4883.0,4131.0,3806.0,3956.0
Gross profit(figures in $M),MSI,4229.0,4229.0,4040.0,3608.0,3931.0
Research development(figures in $M),MSI,779.0,779.0,734.0,686.0,687.0
Selling general and administrative(figures in $M),MSI,1450.0,1450.0,1353.0,1293.0,1403.0
Total operating expenses(figures in $M),MSI,2486.0,2568.0,2373.0,2225.0,2298.0
Operating income or loss(figures in $M),MSI,1743.0,1661.0,1667.0,1383.0,1633.0
Interest expense(figures in $M),MSI,240.0,226.0,208.0,220.0,220.0
Total other income/expenses net(figures in $M),MSI,-2.0,80.0,93.0,11.0,-412.0
Income before tax(figures in $M),MSI,1515.0,1515.0,1552.0,1174.0,1001.0
Income tax expense(figures in $M),MSI,148.0,148.0,302.0,221.0,130.0
Income from continuing operations(figures in $M),MSI,1367.0,1367.0,1250.0,953.0,871.0
Net income(figures in $M),MSI,1363.0,1363.0,1245.0,949.0,868.0
Net income available to common shareholders(figures in $M),MSI,1363.0,1363.0,1245.0,949.0,868.0
Basic EPS(figures in $M),MSI,,,7.360000000000001e-06,5.58e-06,5.21e-06
Diluted EPS(figures in $M),MSI,,,7.17e-06,5.45e-06,4.95e-06
Basic average shares(figures in $M),MSI,,,169.2,170.0,166.6
Diluted average shares(figures in $M),MSI,,,173.6,174.1,175.6
EBITDA(figures in $M),MSI,,2181.0,2198.0,1803.0,1615.0
