,ticker,2023,2024,2025
Revenue(In $M),MSI,"9,680","10,194","10,730"
Dividend,MSI,3.24,3.41,3.92
Dividend Yield (in %),MSI,1.21 %,1.28 %,1.47 %
EPS,MSI,11.20,12.34,13.76
P/E Ratio,MSI,25.95,23.56,21.12
EBIT(In $M),MSI,"2,649","2,886","3,180"
EBITDA(In $M),MSI,"2,889","3,145","3,356"
Net Profit(In $M),MSI,"1,917","2,111","2,284"
Net Profit Adjusted(In $M),MSI,"1,918","2,094","2,284"
Pre-Tax Profit(In $M),MSI,"2,506","2,755","2,985"
Net Profit (Adjusted)(In $M),MSI,"2,028","2,296","2,452"
EPS (Non-GAAP) ex. SOE(In $),MSI,9.26,10.57,-
EPS (GAAP)(In $),MSI,9.39,10.48,11.86
Gross Income(In $M),MSI,"4,745","5,106","5,429"
Cash Flow from Investing(In $M),MSI,-318,-325,-447
Cash Flow from Operations(In $M),MSI,"1,819","2,297","2,166"
Cash Flow from Financing(In $M),MSI,"-1,179","-1,290","-1,675"
Cash Flow per Share(In $),MSI,11.23,12.83,12.40
Free Cash Flow(In $M),MSI,"1,634","1,923","1,710"
Free Cash Flow per Share(In $),MSI,-,-,-
Book Value per Share(In $),MSI,5.25,10.43,10.62
Net Debt(In $M),MSI,"4,345","3,586","4,757"
Research & Development Exp.(In $M),MSI,757,799,888
Capital Expenditure(In $M),MSI,292,298,335
"Selling, General & Admin. Exp.(In $M)",MSI,"1,488","1,572","1,550"
Shareholder’s Equity(In $M),MSI,783,"1,576","1,731"
Total Assets(In $M),MSI,"13,228","14,071",-
