,ticker,2023,2024,2025
Revenue(In $M),NTRS,"7,132","7,388","7,837"
Dividend,NTRS,3.08,3.25,3.37
Dividend Yield (in %),NTRS,3.58 %,3.80 %,4.08 %
EPS,NTRS,6.47,6.80,7.64
P/E Ratio,NTRS,11.12,10.58,9.41
EBIT(In $M),NTRS,"1,869","1,850","1,904"
EBITDA(In $M),NTRS,-,-,-
Net Profit(In $M),NTRS,"1,353","1,405","1,593"
Net Profit Adjusted(In $M),NTRS,"1,364","1,411","1,543"
Pre-Tax Profit(In $M),NTRS,"1,863","1,922","2,086"
Net Profit (Adjusted)(In $M),NTRS,"1,884","1,940","2,083"
EPS (Non-GAAP) ex. SOE(In $),NTRS,6.47,6.80,7.64
EPS (GAAP)(In $),NTRS,6.53,6.91,7.97
Gross Income(In $M),NTRS,-,-,-
Cash Flow from Investing(In $M),NTRS,-,-,-
Cash Flow from Operations(In $M),NTRS,-,-,-
Cash Flow from Financing(In $M),NTRS,-,-,-
Cash Flow per Share(In $),NTRS,-,-,-
Free Cash Flow(In $M),NTRS,-,-,-
Free Cash Flow per Share(In $),NTRS,-,-,-
Book Value per Share(In $),NTRS,53.77,57.19,60.91
Net Debt(In $M),NTRS,-,-,-
Research & Development Exp.(In $M),NTRS,-,-,-
Capital Expenditure(In $M),NTRS,-,-,-
"Selling, General & Admin. Exp.(In $M)",NTRS,-,-,-
Shareholder’s Equity(In $M),NTRS,"11,857","12,269","12,715"
Total Assets(In $M),NTRS,"151,145","153,718","170,907"
