,ticker,2023,2024,2025
Revenue(In $M),LNC,"18,415","19,092","20,225"
Dividend,LNC,1.85,1.90,2.04
Dividend Yield (in %),LNC,7.83 %,8.06 %,8.69 %
EPS,LNC,7.86,9.01,9.94
P/E Ratio,LNC,2.61,2.28,2.06
EBIT(In $M),LNC,"1,632","1,888","2,170"
EBITDA(In $M),LNC,"1,799","2,283","2,621"
Net Profit(In $M),LNC,"1,348","1,550","1,676"
Net Profit Adjusted(In $M),LNC,"1,348","1,550","1,676"
Pre-Tax Profit(In $M),LNC,"1,696","1,990","2,193"
Net Profit (Adjusted)(In $M),LNC,"1,776","2,046",-
EPS (Non-GAAP) ex. SOE(In $),LNC,7.86,9.01,9.94
EPS (GAAP)(In $),LNC,7.73,8.50,9.04
Gross Income(In $M),LNC,-,-,-
Cash Flow from Investing(In $M),LNC,-,-,-
Cash Flow from Operations(In $M),LNC,"1,722","2,070",-
Cash Flow from Financing(In $M),LNC,-,-,-
Cash Flow per Share(In $),LNC,10.05,12.02,-
Free Cash Flow(In $M),LNC,264,265,-
Free Cash Flow per Share(In $),LNC,2.34,-,-
Book Value per Share(In $),LNC,60.59,66.23,59.56
Net Debt(In $M),LNC,"6,579","6,704","6,829"
Research & Development Exp.(In $M),LNC,-,-,-
Capital Expenditure(In $M),LNC,-,-,-
"Selling, General & Admin. Exp.(In $M)",LNC,-,-,-
Shareholder’s Equity(In $M),LNC,"10,853","11,692","13,414"
Total Assets(In $M),LNC,"396,544","412,646",-
