,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),-2227.0,1358.0,1405.0,499.0,886.0,LNC
Change in working capital(figures in $M),5331.0,5331.0,-1095.0,-872.0,-2066.0,LNC
Accounts receivable(figures in $M),-54.0,-54.0,-93.0,-21.0,105.0,LNC
Other working capital(figures in $M),4033.0,4033.0,151.0,534.0,-2686.0,LNC
Other non-cash items(figures in $M),331.0,331.0,-263.0,128.0,394.0,LNC
Net cash provided by operating activities(figures in $M),4033.0,4033.0,151.0,534.0,-2686.0,LNC
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,0.0,LNC
Purchases of investments(figures in $M),-15477.0,-15477.0,-17650.0,-17157.0,-15759.0,LNC
Sales/maturities of investments(figures in $M),8196.0,8196.0,12266.0,6951.0,13509.0,LNC
Other investing activities(figures in $M),-4119.0,-4119.0,2958.0,1321.0,-182.0,LNC
Net cash used for investing activities(figures in $M),-11643.0,-11643.0,-3567.0,-9481.0,-5499.0,LNC
Debt repayment(figures in $M),-370.0,-370.0,-59.0,-1143.0,-391.0,LNC
Common stock repurchased(figures in $M),-550.0,-550.0,-1105.0,-275.0,-550.0,LNC
Dividends paid(figures in $M),-310.0,-310.0,-319.0,-311.0,-303.0,LNC
Other financing activities(figures in $M),8119.0,8119.0,5624.0,8430.0,8816.0,LNC
Net cash used provided by (used for) financing activities(figures in $M),8341.0,8341.0,4320.0,8092.0,8403.0,LNC
Net change in cash(figures in $M),731.0,731.0,904.0,-855.0,218.0,LNC
Cash at beginning of period(figures in $M),2612.0,2612.0,1708.0,2563.0,2345.0,LNC
Cash at end of period(figures in $M),3343.0,3343.0,2612.0,1708.0,2563.0,LNC
Operating cash flow(figures in $M),4033.0,4033.0,151.0,534.0,-2686.0,LNC
Free cash flow(figures in $M),4033.0,4033.0,151.0,534.0,-2686.0,LNC
