,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),PG,80281.0,80187.0,76118.0,70950.0,67684.0
Cost of revenue(figures in $M),PG,42871.0,42157.0,37108.0,35250.0,34768.0
Gross profit(figures in $M),PG,37410.0,38030.0,39010.0,35700.0,32916.0
Selling general and administrative(figures in $M),PG,20064.0,20217.0,21024.0,19994.0,19084.0
Total operating expenses(figures in $M),PG,20064.0,20217.0,21024.0,19994.0,19084.0
Operating income or loss(figures in $M),PG,17346.0,17813.0,17986.0,15706.0,13832.0
Interest expense(figures in $M),PG,518.0,439.0,502.0,465.0,509.0
Total other income/expenses net(figures in $M),PG,587.0,570.0,86.0,438.0,-7474.0
Income before tax(figures in $M),PG,17553.0,17995.0,17615.0,15834.0,6069.0
Income tax expense(figures in $M),PG,3206.0,3202.0,3263.0,2731.0,2103.0
Income from continuing operations(figures in $M),PG,14347.0,14793.0,14352.0,13103.0,3966.0
Net income(figures in $M),PG,14279.0,14742.0,14306.0,13027.0,3897.0
Net income available to common shareholders(figures in $M),PG,13997.0,14742.0,14306.0,13027.0,3897.0
Basic EPS(figures in $M),PG,,6e-06,5.690000000000001e-06,5.13e-06,1.4499999999999999e-06
Diluted EPS(figures in $M),PG,,5.8099999999999994e-06,5.5e-06,4.96e-06,1.4299999999999999e-06
Basic average shares(figures in $M),PG,,2410.3,2465.8,2487.1,2503.6
Diluted average shares(figures in $M),PG,,2539.1,2601.0,2625.8,2539.5
EBITDA(figures in $M),PG,,21241.0,20852.0,19312.0,9402.0
