,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30,ticker
Net income(figures in $M),14279.0,14742.0,14306.0,13027.0,3897.0,PG
Depreciation & amortisation(figures in $M),2728.0,2807.0,2735.0,3013.0,2824.0,PG
Deferred income taxes(figures in $M),-699.0,-402.0,-258.0,-596.0,-411.0,PG
Stock-based compensation(figures in $M),510.0,528.0,540.0,558.0,515.0,PG
Change in working capital(figures in $M),-2677.0,-1147.0,371.0,1210.0,368.0,PG
Accounts receivable(figures in $M),-704.0,-694.0,-342.0,634.0,-276.0,PG
Inventory(figures in $M),-1062.0,-1247.0,-309.0,-637.0,-239.0,PG
Accounts payable(figures in $M),175.0,1429.0,1391.0,1923.0,1856.0,PG
Other working capital(figures in $M),11566.0,13567.0,15584.0,14330.0,11895.0,PG
Other non-cash items(figures in $M),400.0,229.0,135.0,108.0,313.0,PG
Net cash provided by operating activities(figures in $M),14603.0,16723.0,18371.0,17403.0,15242.0,PG
"Investments in property, plant and equipment(figures in $M)",-3037.0,-3156.0,-2787.0,-3073.0,-3347.0,PG
"Acquisitions, net(figures in $M)",-1108.0,-1381.0,-34.0,-58.0,-3945.0,PG
Purchases of investments(figures in $M),0.0,0.0,-55.0,-5.0,-220.0,PG
Sales/maturities of investments(figures in $M),0.0,3.0,0.0,6151.0,3628.0,PG
Other investing activities(figures in $M),362.0,110.0,42.0,30.0,394.0,PG
Net cash used for investing activities(figures in $M),-3780.0,-4424.0,-2834.0,3045.0,-3490.0,PG
Debt repayment(figures in $M),-16190.0,-13821.0,-4987.0,-2447.0,-969.0,PG
Common stock repurchased(figures in $M),-8501.0,-10003.0,-11009.0,-7405.0,-5003.0,PG
Dividends paid(figures in $M),-8903.0,-8770.0,-8263.0,-7789.0,-7498.0,PG
Net cash used provided by (used for) financing activities(figures in $M),-15090.0,-14876.0,-21531.0,-8367.0,-9994.0,PG
Net change in cash(figures in $M),-4690.0,-3074.0,-5893.0,11942.0,1670.0,PG
Cash at beginning of period(figures in $M),11544.0,10288.0,16181.0,4239.0,2569.0,PG
Cash at end of period(figures in $M),7277.0,7214.0,10288.0,16181.0,4239.0,PG
Operating cash flow(figures in $M),14603.0,16723.0,18371.0,17403.0,15242.0,PG
Capital expenditure(figures in $M),-3037.0,-3156.0,-2787.0,-3073.0,-3347.0,PG
Free cash flow(figures in $M),11566.0,13567.0,15584.0,14330.0,11895.0,PG
