,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PG,"81,432","85,135","88,845","92,818","95,486"
Dividend,PG,3.70,3.87,4.05,4.25,4.18
Dividend Yield (in %),PG,2.66 %,2.80 %,2.93 %,3.09 %,3.12 %
EPS,PG,5.85,6.38,6.96,7.51,7.75
P/E Ratio,PG,26.61,24.43,22.37,20.74,20.11
EBIT(In $M),PG,"18,193","19,790","21,300","22,665","23,438"
EBITDA(In $M),PG,"20,925","22,845","24,639","26,603","27,735"
Net Profit(In $M),PG,"14,563","15,641","16,881","17,704","18,128"
Net Profit Adjusted(In $M),PG,"14,521","15,647","16,912","17,963","18,922"
Pre-Tax Profit(In $M),PG,"18,268","19,665","21,180","22,320","23,081"
Net Profit (Adjusted)(In $M),PG,"18,199","19,704","21,240","22,267","23,081"
EPS (Non-GAAP) ex. SOE(In $),PG,5.85,6.38,6.96,7.51,7.75
EPS (GAAP)(In $),PG,5.92,6.44,7.01,7.49,7.78
Gross Income(In $M),PG,"38,908","41,802","44,574","48,589",-
Cash Flow from Investing(In $M),PG,"-3,639","-3,795","-4,020","-4,165","-4,751"
Cash Flow from Operations(In $M),PG,"17,059","19,312","20,990","22,633","23,506"
Cash Flow from Financing(In $M),PG,"-12,856","-14,693","-14,303","-14,893","-22,829"
Cash Flow per Share(In $),PG,6.52,7.47,7.96,7.89,9.73
Free Cash Flow(In $M),PG,"13,560","15,150","16,556","17,219","18,755"
Free Cash Flow per Share(In $),PG,5.24,6.49,6.83,-,-
Book Value per Share(In $),PG,21.29,22.70,21.85,21.68,20.46
Net Debt(In $M),PG,"27,390","28,004","27,327","27,497","25,906"
Research & Development Exp.(In $M),PG,"2,292","2,406","2,681","2,785",-
Capital Expenditure(In $M),PG,"3,499","3,886","4,095","4,057","4,201"
"Selling, General & Admin. Exp.(In $M)",PG,"20,656","21,671","22,673",-,-
Shareholder’s Equity(In $M),PG,"47,740","47,475","48,524","51,491","48,742"
Total Assets(In $M),PG,"120,393","123,614","127,841","110,658","109,269"
