,2022,2021,2020,2019,2018,ticker
Current ratio,0.655,0.697,0.849,0.749,0.826,PG
Quick ratio,0.374,0.453,0.617,0.508,0.586,PG
Cash ratio,0.218,0.311,0.491,0.141,0.091,PG
Days of sales outstanding,23.410,22.657,21.494,26.699,25.592,PG
Days of inventory outstanding,59.949,58.850,56.930,52.669,50.466,PG
Operating cycle,83.359,81.507,78.423,79.369,76.058,PG
Days of payables outstanding,128.850,134.952,124.990,118.209,110.177,PG
Cash conversion cycle,-45.491,-53.445,-46.567,-38.841,-34.119,PG
Gross profit margin,0.474,0.512,0.503,0.486,0.487,PG
Operating profit margin,0.222,0.236,0.221,0.220,0.205,PG
Pretax profit margin,0.224,0.231,0.223,0.090,0.199,PG
Net profit margin,0.184,0.188,0.184,0.058,0.146,PG
Effective tax rate,0.178,0.185,0.172,0.347,0.260,PG
Return on assets,0.126,0.120,0.108,0.034,0.082,PG
Return on equity,0.315,0.307,0.278,0.083,0.186,PG
Return on capital employed,0.212,0.209,0.179,0.175,0.152,PG
Net income per EBT,0.819,0.812,0.823,0.642,0.732,PG
Ebt per ebit,1.010,0.979,1.008,0.407,0.972,PG
Ebit per revenue,0.222,0.236,0.221,0.220,0.205,PG
Debt ratio,0.600,0.609,0.612,0.587,0.553,PG
Debt equity ratio,0.672,0.686,0.741,0.640,0.596,PG
Long term debt to capitalization,0.328,0.331,0.334,0.303,0.284,PG
Total debt to capitalization,0.402,0.407,0.426,0.390,0.374,PG
Interest coverage,40.576,35.829,33.776,29.318,27.097,PG
Cash flow to debt ratio,0.531,0.574,0.501,0.507,0.477,PG
Company equity multiplier,2.502,2.557,2.575,2.449,2.262,PG
Receivables turnover,15.591,16.110,16.982,13.671,14.262,PG
Payables turnover,2.833,2.705,2.920,3.088,3.313,PG
Inventory turnover,6.089,6.202,6.411,6.930,7.233,PG
Fixed asset turnover,3.783,3.510,3.429,3.182,3.244,PG
Asset turnover,0.684,0.638,0.588,0.588,0.565,PG
Operating cash flow per share,6.938,7.450,6.997,6.088,5.878,PG
Free cash flow per share,5.629,6.320,5.762,4.751,4.408,PG
Cash per share,2.993,4.172,6.506,4.109,4.685,PG
Payout ratio,0.595,0.578,0.598,1.924,0.750,PG
Operating cash flow sales ratio,0.209,0.241,0.245,0.225,0.222,PG
Free cash flow operating cash flow ratio,0.811,0.848,0.823,0.780,0.750,PG
Cash flow coverage ratios,0.531,0.574,0.501,0.507,0.477,PG
Short term coverage ratios,1.934,2.067,1.556,1.572,1.429,PG
Capital expenditure coverage ratio,-5.299,-6.592,-5.663,-4.554,-4.000,PG
Dividend paid and capex coverage ratio,2.979,3.355,3.690,3.672,4.138,PG
Dividend payout ratio,0.595,0.578,0.598,1.924,0.750,PG
Price book value ratio,7.397,7.131,6.344,5.887,3.776,PG
Price to book ratio,7.397,7.131,6.344,5.887,3.776,PG
Price to sales ratio,4.322,4.371,4.191,4.087,2.954,PG
Price earnings ratio,23.509,23.257,22.828,70.984,20.250,PG
Price to free cash flows ratio,25.546,21.349,20.752,23.255,17.707,PG
Price to operating cash flows ratio,20.725,18.111,17.088,18.149,13.280,PG
Price cash flow ratio,20.725,18.111,17.088,18.149,13.280,PG
Price earnings to growth ratio,4.315,2.130,0.090,-1.157,-0.573,PG
Price sales ratio,4.322,4.371,4.191,4.087,2.954,PG
Dividend yield,0.025,0.025,0.026,0.027,0.037,PG
Enterprise value multiple,17.459,16.996,16.359,17.044,13.654,PG
Price fair value,7.397,7.131,6.344,5.887,3.776,PG
