,ticker,2023,2024,2025
Revenue(In $M),CB,"43,769","46,063","48,823"
Dividend,CB,3.38,3.52,4.41
Dividend Yield (in %),CB,1.72 %,1.79 %,1.95 %
EPS,CB,18.28,20.28,22.64
P/E Ratio,CB,11.14,10.04,9.00
EBIT(In $M),CB,"7,483","8,275","10,052"
EBITDA(In $M),CB,"9,470","10,187",-
Net Profit(In $M),CB,"7,590","8,211","9,134"
Net Profit Adjusted(In $M),CB,"7,447","8,067","8,907"
Pre-Tax Profit(In $M),CB,"9,021","9,820","11,350"
Net Profit (Adjusted)(In $M),CB,"8,845","9,580",-
EPS (Non-GAAP) ex. SOE(In $),CB,18.28,20.28,22.64
EPS (GAAP)(In $),CB,18.16,20.01,22.77
Gross Income(In $M),CB,-,-,-
Cash Flow from Investing(In $M),CB,-,-,-
Cash Flow from Operations(In $M),CB,"9,470","10,187",-
Cash Flow from Financing(In $M),CB,-,-,-
Cash Flow per Share(In $),CB,22.94,25.27,-
Free Cash Flow(In $M),CB,550,551,-
Free Cash Flow per Share(In $),CB,-,-,-
Book Value per Share(In $),CB,138.10,152.42,168.05
Net Debt(In $M),CB,"-12,087","-12,087","-12,087"
Research & Development Exp.(In $M),CB,-,-,-
Capital Expenditure(In $M),CB,0,0,-
"Selling, General & Admin. Exp.(In $M)",CB,-,-,-
Shareholder’s Equity(In $M),CB,"57,680","62,755","70,938"
Total Assets(In $M),CB,"207,304","215,035","222,905"
