,ticker,ttm,2022-03-31,2021-03-31,2020-03-31
Total revenue(figures in $M),EA,7377.0,6991.0,5629.0,5537.0
Cost of revenue(figures in $M),EA,1763.0,1859.0,1494.0,1369.0
Gross profit(figures in $M),EA,5614.0,5132.0,4135.0,4168.0
Research development(figures in $M),EA,2272.0,2186.0,1778.0,1559.0
Selling general and administrative(figures in $M),EA,1636.0,1634.0,1281.0,1137.0
Total operating expenses(figures in $M),EA,4092.0,4003.0,3089.0,2718.0
Operating income or loss(figures in $M),EA,1522.0,1129.0,1046.0,1450.0
Interest expense(figures in $M),EA,58.0,58.0,43.0,42.0
Total other income/expenses net(figures in $M),EA,,6.0,-8.0,-5.0
Income before tax(figures in $M),EA,1501.0,1081.0,1017.0,1508.0
Income tax expense(figures in $M),EA,462.0,292.0,180.0,-1531.0
Income from continuing operations(figures in $M),EA,1039.0,789.0,837.0,3039.0
Net income(figures in $M),EA,1039.0,789.0,837.0,3039.0
Net income available to common shareholders(figures in $M),EA,1039.0,789.0,837.0,3039.0
Basic EPS(figures in $M),EA,,2.7799999999999996e-06,2.8999999999999998e-06,1.0369999999999999e-05
Diluted EPS(figures in $M),EA,,2.76e-06,2.87e-06,1.0300000000000001e-05
Basic average shares(figures in $M),EA,,284.0,289.0,293.0
Diluted average shares(figures in $M),EA,,286.0,292.0,295.0
EBITDA(figures in $M),EA,,1615.0,1227.0,1600.0
