,ticker,2023,2024,2025,2026,2027
Revenue(In $M),EA,"7,128","7,533","8,136","9,054","10,571"
Dividend,EA,0.76,0.79,0.83,1.01,-
Dividend Yield (in %),EA,0.66 %,0.68 %,0.72 %,0.90 %,-
EPS,EA,6.02,6.56,7.49,8.93,10.66
P/E Ratio,EA,20.62,18.91,16.56,13.89,11.64
EBIT(In $M),EA,"2,084","2,252","2,553","2,936","3,421"
EBITDA(In $M),EA,"2,391","2,500","2,792","3,259","3,721"
Net Profit(In $M),EA,"1,676","1,813","2,054","2,448","2,779"
Net Profit Adjusted(In $M),EA,"1,676","1,813","2,054","2,448","2,779"
Pre-Tax Profit(In $M),EA,"2,070","2,230","2,506","2,986","3,389"
Net Profit (Adjusted)(In $M),EA,"1,415","1,369","1,661",-,-
EPS (Non-GAAP) ex. SOE(In $),EA,4.95,5.43,5.47,-,-
EPS (GAAP)(In $),EA,-,3.60,4.32,-,-
Gross Income(In $M),EA,"5,483","5,776","6,241",-,-
Cash Flow from Investing(In $M),EA,-540,-537,-601,-211,-235
Cash Flow from Operations(In $M),EA,"1,604","2,156","2,411","2,582","2,835"
Cash Flow from Financing(In $M),EA,"-1,555","-1,478","-1,497","-1,399","-1,397"
Cash Flow per Share(In $),EA,6.22,7.21,8.93,-,-
Free Cash Flow(In $M),EA,"1,288","1,975","2,113","2,350","2,846"
Free Cash Flow per Share(In $),EA,4.34,7.18,7.60,9.00,-
Book Value per Share(In $),EA,26.96,28.96,31.52,-,-
Net Debt(In $M),EA,-881,"-1,360","-2,033","-2,686","-3,714"
Research & Development Exp.(In $M),EA,"1,907","1,978","2,152",-,-
Capital Expenditure(In $M),EA,204,182,194,158,235
"Selling, General & Admin. Exp.(In $M)",EA,"1,484","1,544","1,625",-,-
Shareholder’s Equity(In $M),EA,"7,519","7,946","8,567","11,605","10,301"
Total Assets(In $M),EA,"13,568","13,780","14,227","15,106","16,534"
