,ticker,2022-03-31,2021-03-31,2020-03-31
Cash and cash equivalents(figures in $M),EA,2732.0,5260.0,3768.0
Other short-term investments(figures in $M),EA,330.0,1106.0,1967.0
Total cash(figures in $M),EA,3062.0,6366.0,5735.0
Net receivables(figures in $M),EA,650.0,521.0,461.0
Other current assets(figures in $M),EA,439.0,326.0,321.0
Total current assets(figures in $M),EA,4151.0,7213.0,6517.0
"Gross property, plant and equipment(figures in $M)",EA,1621.0,1521.0,1391.0
Accumulated depreciation(figures in $M),EA,-1071.0,-1030.0,-942.0
"Net property, plant and equipment(figures in $M)",EA,550.0,491.0,449.0
Goodwill(figures in $M),EA,5387.0,2868.0,1885.0
Intangible assets(figures in $M),EA,962.0,309.0,53.0
Other long-term assets(figures in $M),EA,507.0,362.0,305.0
Total non-current assets(figures in $M),EA,9649.0,6075.0,4595.0
Total assets(figures in $M),EA,13800.0,13288.0,11112.0
Current debt(figures in $M),EA,0.0,0.0,599.0
Accounts payable(figures in $M),EA,101.0,96.0,68.0
Accrued liabilities(figures in $M),EA,1388.0,1341.0,1052.0
Deferred revenues(figures in $M),EA,2024.0,1527.0,945.0
Total current liabilities(figures in $M),EA,3513.0,2964.0,2664.0
Long-term debt(figures in $M),EA,1878.0,1876.0,397.0
Deferred tax liabilities(figures in $M),EA,1.0,43.0,1.0
Other long-term liabilities(figures in $M),EA,397.0,250.0,216.0
Total non-current liabilities(figures in $M),EA,2662.0,2484.0,987.0
Total liabilities(figures in $M),EA,6175.0,5448.0,3651.0
Common stock(figures in $M),EA,3.0,3.0,3.0
Retained earnings(figures in $M),EA,7607.0,7887.0,7508.0
Accumulated other comprehensive income(figures in $M),EA,15.0,-50.0,-50.0
Total stockholders' equity(figures in $M),EA,7625.0,7840.0,7461.0
Total liabilities and stockholders' equity(figures in $M),EA,13800.0,13288.0,11112.0
