,ticker,2023,2024,2025,2026,2027
Revenue(In $M),GOOG,"299,257","332,497","370,165","410,363","445,998"
Dividend,GOOG,0.00,0.00,0.00,-,-
Dividend Yield (in %),GOOG,-,-,-,-,-
EPS,GOOG,5.35,6.34,7.47,8.61,9.89
P/E Ratio,GOOG,19.82,16.74,14.19,12.32,10.73
EBIT(In $M),GOOG,"79,448","91,881","106,918","118,731","131,187"
EBITDA(In $M),GOOG,"116,065","132,538","154,495","168,057","187,155"
Net Profit(In $M),GOOG,"68,161","78,694","91,636","101,055","113,198"
Net Profit Adjusted(In $M),GOOG,"77,742","89,111","100,766","113,665","125,796"
Pre-Tax Profit(In $M),GOOG,"82,981","95,355","112,443","121,971","136,540"
Net Profit (Adjusted)(In $M),GOOG,"82,737","95,128","111,403","121,971","136,540"
EPS (Non-GAAP) ex. SOE(In $),GOOG,5.32,6.34,8.13,9.24,10.61
EPS (GAAP)(In $),GOOG,5.35,6.34,7.47,8.61,9.89
Gross Income(In $M),GOOG,"167,636","186,523","213,440","234,690","266,837"
Cash Flow from Investing(In $M),GOOG,"-32,164","-31,371","-32,433","-29,228","-29,345"
Cash Flow from Operations(In $M),GOOG,"106,718","121,008","138,557","160,829","177,485"
Cash Flow from Financing(In $M),GOOG,"-62,618","-58,759","-49,899","-88,415","-100,939"
Cash Flow per Share(In $),GOOG,7.94,9.29,10.36,11.76,13.25
Free Cash Flow(In $M),GOOG,"74,123","86,902","104,394","122,345","149,000"
Free Cash Flow per Share(In $),GOOG,5.69,7.17,9.22,11.06,13.24
Book Value per Share(In $),GOOG,22.19,26.43,32.00,29.51,33.06
Net Debt(In $M),GOOG,"-104,068","-121,978","-170,215","-243,335","-246,268"
Research & Development Exp.(In $M),GOOG,"44,084","46,505","50,771","55,692","56,332"
Capital Expenditure(In $M),GOOG,"32,406","34,114","35,548","32,265","32,382"
"Selling, General & Admin. Exp.(In $M)",GOOG,"65,002","68,617","94,752",-,-
Shareholder’s Equity(In $M),GOOG,"283,715","331,222","396,068","505,553","586,392"
Total Assets(In $M),GOOG,"404,531","454,396","522,723","677,064","777,519"
