,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),GOOG,282836.0,282836.0,257637.0,182527.0,161857.0
Cost of revenue(figures in $M),GOOG,126203.0,126203.0,110939.0,84732.0,71896.0
Gross profit(figures in $M),GOOG,156633.0,156633.0,146698.0,97795.0,89961.0
Research development(figures in $M),GOOG,39500.0,39500.0,31562.0,27573.0,26018.0
Selling general and administrative(figures in $M),GOOG,42291.0,42291.0,36422.0,28998.0,28015.0
Total operating expenses(figures in $M),GOOG,81791.0,81791.0,67984.0,56571.0,54033.0
Operating income or loss(figures in $M),GOOG,74842.0,74842.0,78714.0,41224.0,35928.0
Interest expense(figures in $M),GOOG,357.0,357.0,346.0,135.0,100.0
Total other income/expenses net(figures in $M),GOOG,-5331.0,-3514.0,12020.0,6858.0,3697.0
Income before tax(figures in $M),GOOG,71328.0,71328.0,90734.0,48082.0,39625.0
Income tax expense(figures in $M),GOOG,11356.0,11356.0,14701.0,7813.0,5282.0
Income from continuing operations(figures in $M),GOOG,59972.0,59972.0,76033.0,40269.0,34343.0
Net income(figures in $M),GOOG,59972.0,59972.0,76033.0,40269.0,34343.0
Net income available to common shareholders(figures in $M),GOOG,59972.0,59972.0,76033.0,40269.0,34343.0
Basic EPS(figures in $M),GOOG,,4.59e-06,5.690000000000001e-06,2.96e-06,2.48e-06
Diluted EPS(figures in $M),GOOG,,4.5599999999999995e-06,5.6100000000000005e-06,2.9300000000000003e-06,2.46e-06
Basic average shares(figures in $M),GOOG,,13063.0,13352.994,13616.314,13851.914
Diluted average shares(figures in $M),GOOG,,13159.0,13553.474,13740.554,13971.114
EBITDA(figures in $M),GOOG,,90770.0,91155.0,54921.0,47709.0
