,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),1299.4,1316.5,1407.8,945.4,1339.1,OMC
Depreciation & amortisation(figures in $M),219.4,219.4,212.1,222.6,231.5,OMC
Stock-based compensation(figures in $M),81.7,81.7,84.7,70.8,72.5,OMC
Change in working capital(figures in $M),-844.0,-844.0,160.5,30.9,125.1,OMC
Accounts receivable(figures in $M),-129.1,-129.1,-989.1,141.2,-156.6,OMC
Inventory(figures in $M),-197.9,-197.9,-281.7,293.0,-99.8,OMC
Accounts payable(figures in $M),-350.1,-350.1,921.3,-428.6,276.3,OMC
Other working capital(figures in $M),848.3,848.3,1279.6,1649.2,1753.8,OMC
Other non-cash items(figures in $M),60.2,60.2,39.8,379.5,5.8,OMC
Net cash provided by operating activities(figures in $M),926.5,926.5,1945.4,1724.6,1856.0,OMC
"Investments in property, plant and equipment(figures in $M)",-78.2,-78.2,-665.8,-75.4,-102.2,OMC
"Acquisitions, net(figures in $M)",-276.8,-276.8,-160.0,-67.1,-10.0,OMC
Purchases of investments(figures in $M),-25.9,-25.9,0.0,0.0,0.0,OMC
Sales/maturities of investments(figures in $M),0.0,0.0,2.5,3.2,1.9,OMC
Net cash used for investing activities(figures in $M),-380.9,-380.9,-709.2,-136.1,-30.9,OMC
Debt repayment(figures in $M),0.0,0.0,-1250.0,-600.0,-900.0,OMC
Common stock repurchased(figures in $M),-611.4,-611.4,-527.3,-217.9,-610.2,OMC
Dividends paid(figures in $M),-581.1,-581.1,-592.3,-562.7,-564.3,OMC
Other financing activities(figures in $M),-195.8,-195.8,-258.2,-208.8,-268.4,OMC
Net cash used provided by (used for) financing activities(figures in $M),-1362.0,-1362.0,-1391.0,-408.4,-1222.0,OMC
Net change in cash(figures in $M),-1035.0,-1035.0,-283.7,1294.8,653.3,OMC
Cash at beginning of period(figures in $M),5316.8,5316.8,5600.5,4305.7,3652.4,OMC
Cash at end of period(figures in $M),4281.8,4281.8,5316.8,5600.5,4305.7,OMC
Operating cash flow(figures in $M),926.5,926.5,1945.4,1724.6,1856.0,OMC
Capital expenditure(figures in $M),-78.2,-78.2,-665.8,-75.4,-102.2,OMC
Free cash flow(figures in $M),848.3,848.3,1279.6,1649.2,1753.8,OMC
