,ticker,2023,2024,2025,2026
Revenue(In $M),OMC,"14,746","15,242","15,793","15,899"
Dividend,OMC,3.01,3.17,3.38,3.20
Dividend Yield (in %),OMC,3.39 %,3.60 %,3.83 %,3.66 %
EPS,OMC,7.43,7.88,8.44,8.33
P/E Ratio,OMC,11.73,11.06,10.32,10.46
EBIT(In $M),OMC,"2,247","2,361","2,469","2,444"
EBITDA(In $M),OMC,"2,447","2,572","2,681","2,696"
Net Profit(In $M),OMC,"1,497","1,560","1,643","1,698"
Net Profit Adjusted(In $M),OMC,"1,499","1,557","1,642","1,698"
Pre-Tax Profit(In $M),OMC,"2,092","2,224","2,337","2,349"
Net Profit (Adjusted)(In $M),OMC,"2,096","2,207","2,237",-
EPS (Non-GAAP) ex. SOE(In $),OMC,7.43,7.88,8.44,8.33
EPS (GAAP)(In $),OMC,7.19,7.91,8.65,-
Gross Income(In $M),OMC,"2,850","2,982","3,112",-
Cash Flow from Investing(In $M),OMC,93,22,147,-549
Cash Flow from Operations(In $M),OMC,"2,295","2,257","2,619","2,018"
Cash Flow from Financing(In $M),OMC,"-1,223","-1,170","-1,347","-1,349"
Cash Flow per Share(In $),OMC,9.59,9.47,10.35,-
Free Cash Flow(In $M),OMC,"1,748","1,832","1,972","1,868"
Free Cash Flow per Share(In $),OMC,8.15,8.68,9.38,-
Book Value per Share(In $),OMC,18.11,21.07,24.37,-
Net Debt(In $M),OMC,816,157,-408,-172
Research & Development Exp.(In $M),OMC,-,-,-,-
Capital Expenditure(In $M),OMC,104,110,123,141
"Selling, General & Admin. Exp.(In $M)",OMC,380,392,402,418
Shareholder’s Equity(In $M),OMC,"3,994","4,459","4,793","4,566"
Total Assets(In $M),OMC,"28,201","29,154","29,139","29,821"
