,ticker,2023,2024,2025,2026,2027
Revenue(In $M),TRIP,"1,723","1,899","2,055","2,217","2,376"
Dividend,TRIP,0.00,0.00,0.00,-,-
Dividend Yield (in %),TRIP,-,-,-,-,-
EPS,TRIP,1.14,1.54,1.98,2.47,2.73
P/E Ratio,TRIP,14.05,10.40,8.08,6.49,5.87
EBIT(In $M),TRIP,153,222,302,-,-
EBITDA(In $M),TRIP,341,416,500,608,672
Net Profit(In $M),TRIP,70,145,208,-,-
Net Profit Adjusted(In $M),TRIP,165,229,298,339,383
Pre-Tax Profit(In $M),TRIP,119,187,255,405,540
Net Profit (Adjusted)(In $M),TRIP,119,187,255,405,540
EPS (Non-GAAP) ex. SOE(In $),TRIP,1.14,1.54,1.98,2.47,2.73
EPS (GAAP)(In $),TRIP,0.46,0.97,1.33,2.07,2.75
Gross Income(In $M),TRIP,"1,587","1,755","1,896","2,280","2,551"
Cash Flow from Investing(In $M),TRIP,-81,-87,-92,-62,-63
Cash Flow from Operations(In $M),TRIP,289,351,335,603,722
Cash Flow from Financing(In $M),TRIP,-,-73,-338,-,-
Cash Flow per Share(In $),TRIP,2.17,2.62,2.81,-,-
Free Cash Flow(In $M),TRIP,235,296,340,441,480
Free Cash Flow per Share(In $),TRIP,1.72,2.37,2.81,3.61,4.52
Book Value per Share(In $),TRIP,6.93,8.52,11.21,-,-
Net Debt(In $M),TRIP,-396,-653,-974,"-1,216","-1,657"
Research & Development Exp.(In $M),TRIP,221,249,249,291,314
Capital Expenditure(In $M),TRIP,75,81,86,95,100
"Selling, General & Admin. Exp.(In $M)",TRIP,"1,027","1,108",-,-,-
Shareholder’s Equity(In $M),TRIP,988,"1,190","1,451","1,805","2,177"
Total Assets(In $M),TRIP,"2,667","2,875","3,125","3,657","4,143"
