,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),TRIP,1021.0,723.0,418.0,319.0
Other short-term investments(figures in $M),TRIP,0.0,0.0,0.0,0.0
Total cash(figures in $M),TRIP,1021.0,723.0,418.0,319.0
Net receivables(figures in $M),TRIP,205.0,142.0,83.0,183.0
Other current assets(figures in $M),TRIP,44.0,0.0,0.0,0.0
Total current assets(figures in $M),TRIP,1270.0,940.0,573.0,533.0
"Gross property, plant and equipment(figures in $M)",TRIP,733.0,717.0,680.0,663.0
Accumulated depreciation(figures in $M),TRIP,-512.0,-460.0,-386.0,-319.0
"Net property, plant and equipment(figures in $M)",TRIP,221.0,257.0,294.0,344.0
Equity and other investments(figures in $M),TRIP,34.0,36.0,40.0,55.0
Goodwill(figures in $M),TRIP,822.0,843.0,862.0,840.0
Intangible assets(figures in $M),TRIP,51.0,65.0,86.0,110.0
Other long-term assets(figures in $M),TRIP,93.0,94.0,104.0,95.0
Total non-current assets(figures in $M),TRIP,1299.0,1349.0,1396.0,1451.0
Total assets(figures in $M),TRIP,2569.0,2289.0,1969.0,1984.0
Accounts payable(figures in $M),TRIP,39.0,27.0,18.0,11.0
Taxes payable(figures in $M),TRIP,16.0,3.0,1.0,14.0
Accrued liabilities(figures in $M),TRIP,247.0,181.0,160.0,203.0
Deferred revenues(figures in $M),TRIP,44.0,36.0,28.0,62.0
Other current liabilities(figures in $M),TRIP,61.0,51.0,53.0,63.0
Total current liabilities(figures in $M),TRIP,533.0,357.0,242.0,435.0
Long-term debt(figures in $M),TRIP,836.0,833.0,491.0,0.0
Deferred tax liabilities(figures in $M),TRIP,1.0,1.0,10.0,8.0
Deferred revenues(figures in $M),TRIP,28.0,31.0,33.0,36.0
Other long-term liabilities(figures in $M),TRIP,265.0,215.0,223.0,380.0
Total non-current liabilities(figures in $M),TRIP,1175.0,1143.0,841.0,388.0
Total liabilities(figures in $M),TRIP,1708.0,1500.0,1083.0,823.0
Common stock(figures in $M),TRIP,0.0,0.0,0.0,0.0
Retained earnings(figures in $M),TRIP,261.0,241.0,389.0,681.0
Accumulated other comprehensive income(figures in $M),TRIP,-82.0,-56.0,-34.0,-63.0
Total stockholders' equity(figures in $M),TRIP,861.0,789.0,886.0,1161.0
Total liabilities and stockholders' equity(figures in $M),TRIP,2569.0,2289.0,1969.0,1984.0
