,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NWSA,"9,929","10,216","10,524","10,780","11,063"
Dividend,NWSA,0.20,0.20,0.20,-,0.20
Dividend Yield (in %),NWSA,1.27 %,1.29 %,1.33 %,1.15 %,1.25 %
EPS,NWSA,0.41,0.69,0.84,1.03,1.20
P/E Ratio,NWSA,41.97,24.79,20.28,16.60,14.31
EBIT(In $M),NWSA,655,883,"1,028","1,126","1,237"
EBITDA(In $M),NWSA,"1,370","1,586","1,721","1,880","2,001"
Net Profit(In $M),NWSA,243,410,495,597,671
Net Profit Adjusted(In $M),NWSA,243,410,495,597,671
Pre-Tax Profit(In $M),NWSA,487,751,912,904,963
Net Profit (Adjusted)(In $M),NWSA,450,789,955,904,-
EPS (Non-GAAP) ex. SOE(In $),NWSA,0.41,0.69,0.84,1.03,1.20
EPS (GAAP)(In $),NWSA,0.32,0.72,0.87,0.92,0.98
Gross Income(In $M),NWSA,"9,922","10,045","10,091","10,173",-
Cash Flow from Investing(In $M),NWSA,-540,-494,-526,-458,-
Cash Flow from Operations(In $M),NWSA,818,"1,333","1,441","1,511","1,609"
Cash Flow from Financing(In $M),NWSA,-394,-228,-235,-212,-
Cash Flow per Share(In $),NWSA,1.49,1.83,2.00,-,-
Free Cash Flow(In $M),NWSA,342,742,812,861,"1,099"
Free Cash Flow per Share(In $),NWSA,0.89,1.21,1.37,1.38,-
Book Value per Share(In $),NWSA,14.44,15.00,15.74,-,-
Net Debt(In $M),NWSA,"1,082",530,-111,-629,"-1,417"
Research & Development Exp.(In $M),NWSA,-,-,-,-,-
Capital Expenditure(In $M),NWSA,486,499,519,503,510
"Selling, General & Admin. Exp.(In $M)",NWSA,-,-,-,-,-
Shareholder’s Equity(In $M),NWSA,"8,525","8,670","9,007","8,660","8,937"
Total Assets(In $M),NWSA,"16,976","17,291","17,716","17,358","17,773"
