,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),NWSA,10165.0,10385.0,9358.0,9008.0,10074.0
Selling general and administrative(figures in $M),NWSA,3565.0,3592.0,3254.0,2995.0,3208.0
Total operating expenses(figures in $M),NWSA,9441.0,9404.0,8765.0,8639.0,9489.0
Operating income or loss(figures in $M),NWSA,724.0,981.0,593.0,369.0,585.0
Interest expense(figures in $M),NWSA,109.0,99.0,53.0,25.0,59.0
Total other income/expenses net(figures in $M),NWSA,-246.0,-70.0,-90.0,-1868.0,-172.0
Income before tax(figures in $M),NWSA,369.0,812.0,450.0,-1524.0,354.0
Income tax expense(figures in $M),NWSA,-22.0,52.0,61.0,21.0,126.0
Income from continuing operations(figures in $M),NWSA,391.0,760.0,389.0,-1545.0,228.0
Net income(figures in $M),NWSA,299.0,623.0,330.0,-1269.0,155.0
Net income available to common shareholders(figures in $M),NWSA,299.0,623.0,330.0,-1269.0,155.0
Basic EPS(figures in $M),NWSA,,1.06e-06,5.6e-07,-2.16e-06,2.7e-07
Diluted EPS(figures in $M),NWSA,,1.0500000000000001e-06,5.6e-07,-2.16e-06,2.6e-07
Basic average shares(figures in $M),NWSA,,589.5,590.4,587.9,584.7
Diluted average shares(figures in $M),NWSA,,592.5,593.4,587.9,587.9
EBITDA(figures in $M),NWSA,,1599.0,1183.0,1013.0,1244.0
