,ticker,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Cash and cash equivalents(figures in $M),NWSA,1822.0,2236.0,1517.0,1643.0
Total cash(figures in $M),NWSA,1822.0,2236.0,1517.0,1643.0
Net receivables(figures in $M),NWSA,1502.0,1498.0,1203.0,1544.0
Inventory(figures in $M),NWSA,311.0,253.0,348.0,348.0
Other current assets(figures in $M),NWSA,458.0,469.0,393.0,515.0
Total current assets(figures in $M),NWSA,4093.0,4456.0,3461.0,4050.0
"Gross property, plant and equipment(figures in $M)",NWSA,2994.0,3307.0,3317.0,6078.0
Accumulated depreciation(figures in $M),NWSA,-3933.0,-4460.0,-3667.0,-3524.0
"Net property, plant and equipment(figures in $M)",NWSA,2994.0,3307.0,3317.0,2554.0
Equity and other investments(figures in $M),NWSA,488.0,351.0,297.0,335.0
Goodwill(figures in $M),NWSA,5169.0,4653.0,3951.0,5147.0
Intangible assets(figures in $M),NWSA,2671.0,2179.0,1864.0,2426.0
Other long-term assets(figures in $M),NWSA,1384.0,1447.0,1039.0,930.0
Total non-current assets(figures in $M),NWSA,13128.0,12315.0,10800.0,11661.0
Total assets(figures in $M),NWSA,17221.0,16771.0,14261.0,15711.0
Current debt(figures in $M),NWSA,293.0,28.0,76.0,449.0
Accounts payable(figures in $M),NWSA,411.0,321.0,351.0,411.0
Accrued liabilities(figures in $M),NWSA,1236.0,1339.0,1019.0,1328.0
Deferred revenues(figures in $M),NWSA,604.0,473.0,398.0,428.0
Other current liabilities(figures in $M),NWSA,975.0,1073.0,838.0,724.0
Total current liabilities(figures in $M),NWSA,3519.0,3234.0,2682.0,3340.0
Long-term debt(figures in $M),NWSA,2776.0,2285.0,1183.0,1004.0
Deferred tax liabilities(figures in $M),NWSA,198.0,260.0,258.0,295.0
Other long-term liabilities(figures in $M),NWSA,483.0,519.0,326.0,495.0
Total non-current liabilities(figures in $M),NWSA,4559.0,4391.0,3190.0,2060.0
Total liabilities(figures in $M),NWSA,8078.0,7625.0,5872.0,5400.0
Common stock(figures in $M),NWSA,6.0,6.0,6.0,6.0
Retained earnings(figures in $M),NWSA,-2293.0,-2911.0,-3241.0,-1979.0
Accumulated other comprehensive income(figures in $M),NWSA,-1270.0,-941.0,-1331.0,-1126.0
Total stockholders' equity(figures in $M),NWSA,8222.0,8211.0,7582.0,9144.0
Total liabilities and stockholders' equity(figures in $M),NWSA,17221.0,16771.0,14261.0,15711.0
