,ticker,2023,2024,2025,2026
Revenue(In $M),NUE,"36,445","33,005","32,416","36,868"
Dividend,NUE,2.00,2.00,2.00,-
Dividend Yield (in %),NUE,1.27 %,1.27 %,1.34 %,-
EPS,NUE,15.78,11.88,10.89,9.46
P/E Ratio,NUE,9.28,12.32,13.45,15.48
EBIT(In $M),NUE,"5,787","4,389","4,040",-
EBITDA(In $M),NUE,"7,043","5,493","5,171","3,987"
Net Profit(In $M),NUE,"4,128","3,025","2,710",-
Net Profit Adjusted(In $M),NUE,"4,207","2,986","2,475",-
Pre-Tax Profit(In $M),NUE,"5,853","4,187","3,806",-
Net Profit (Adjusted)(In $M),NUE,"6,178","4,553","3,690",-
EPS (Non-GAAP) ex. SOE(In $),NUE,15.78,11.88,10.89,9.46
EPS (GAAP)(In $),NUE,16.63,11.99,9.89,-
Gross Income(In $M),NUE,"8,374","8,354","7,656",-
Cash Flow from Investing(In $M),NUE,"-3,120","-3,501",-,-
Cash Flow from Operations(In $M),NUE,"5,658","4,744","4,933",-
Cash Flow from Financing(In $M),NUE,"-1,005",-629,-,-
Cash Flow per Share(In $),NUE,22.94,18.33,15.49,-
Free Cash Flow(In $M),NUE,"2,090","1,137","3,171",-
Free Cash Flow per Share(In $),NUE,4.99,0.66,4.92,8.63
Book Value per Share(In $),NUE,87.67,99.43,108.91,-
Net Debt(In $M),NUE,632,-54,"-2,080",-
Research & Development Exp.(In $M),NUE,0,0,0,-
Capital Expenditure(In $M),NUE,"2,834","3,070","1,513",-
"Selling, General & Admin. Exp.(In $M)",NUE,"1,743","1,472","1,417",-
Shareholder’s Equity(In $M),NUE,"22,145","25,198","26,592",-
Total Assets(In $M),NUE,"34,413","36,564",-,-
