,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),LEG,5146.7,5146.7,5072.6,4280.2,4752.5
Cost of revenue(figures in $M),LEG,4169.9,4169.9,4034.3,3385.7,3701.9
Gross profit(figures in $M),LEG,976.8,976.8,1038.3,894.5,1050.6
Selling general and administrative(figures in $M),LEG,427.3,427.3,422.1,424.4,469.7
Total operating expenses(figures in $M),LEG,494.1,494.1,489.6,489.6,533.0
Operating income or loss(figures in $M),LEG,482.7,482.7,548.7,404.9,517.6
Interest expense(figures in $M),LEG,85.5,81.4,73.9,79.6,83.3
Total other income/expenses net(figures in $M),LEG,2.3,2.3,47.3,-4.4,-4.2
Income before tax(figures in $M),LEG,403.6,403.6,522.1,320.9,430.1
Income tax expense(figures in $M),LEG,93.7,93.7,119.5,73.2,96.2
Income from continuing operations(figures in $M),LEG,309.9,309.9,402.6,247.7,333.9
Net income(figures in $M),LEG,309.8,309.8,402.4,247.6,333.8
Net income available to common shareholders(figures in $M),LEG,309.8,309.8,402.4,247.6,333.8
Basic EPS(figures in $M),LEG,,,2.95e-06,1.8200000000000002e-06,2.48e-06
Diluted EPS(figures in $M),LEG,,,2.94e-06,1.8200000000000002e-06,2.47e-06
Basic average shares(figures in $M),LEG,,,136.3,135.7,134.8
Diluted average shares(figures in $M),LEG,,,136.7,135.9,135.4
EBITDA(figures in $M),LEG,,664.8,783.3,589.9,705.3
