,ticker,ttm,2022-12-31,2020-12-31
Total revenue(figures in $M),NE,1413.847,1413.847,964.272
Cost of revenue(figures in $M),NE,1108.402,1108.402,989.804
Gross profit(figures in $M),NE,305.445,305.445,-25.532
Selling general and administrative(figures in $M),NE,82.177,82.177,121.196
Total operating expenses(figures in $M),NE,82.177,82.177,121.196
Operating income or loss(figures in $M),NE,223.268,223.268,-146.728
Interest expense(figures in $M),NE,42.722,42.722,164.653
Total other income/expenses net(figures in $M),NE,-3.41,-3.41,-3936.493
Income before tax(figures in $M),NE,191.501,191.501,-4238.862
Income tax expense(figures in $M),NE,22.553,22.553,-260.403
Income from continuing operations(figures in $M),NE,168.948,168.948,-3978.459
Net income(figures in $M),NE,168.948,168.948,-3978.459
Net income available to common shareholders(figures in $M),NE,168.948,168.948,-3978.459
Basic EPS(figures in $M),NE,,,-5.744e-05
Diluted EPS(figures in $M),NE,,,-5.744e-05
Basic average shares(figures in $M),NE,,,69.26
Diluted average shares(figures in $M),NE,,,81.366
EBITDA(figures in $M),NE,,375.75,-3700.08
