,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),ETN,294.0,297.0,438.0,370.0
Other short-term investments(figures in $M),ETN,261.0,271.0,664.0,221.0
Total cash(figures in $M),ETN,555.0,568.0,1102.0,591.0
Net receivables(figures in $M),ETN,4076.0,3297.0,2904.0,3437.0
Inventory(figures in $M),ETN,3430.0,2969.0,2109.0,2805.0
Other current assets(figures in $M),ETN,700.0,0.0,0.0,0.0
Total current assets(figures in $M),ETN,8761.0,7511.0,9178.0,8728.0
"Gross property, plant and equipment(figures in $M)",ETN,3716.0,3506.0,3392.0,3932.0
Accumulated depreciation(figures in $M),ETN,-4867.0,-4754.0,-4624.0,-5210.0
"Net property, plant and equipment(figures in $M)",ETN,3716.0,3506.0,3392.0,3932.0
Goodwill(figures in $M),ETN,14796.0,14751.0,12903.0,13456.0
Intangible assets(figures in $M),ETN,5485.0,5855.0,4175.0,4638.0
Other long-term assets(figures in $M),ETN,1940.0,2012.0,1750.0,1679.0
Total non-current assets(figures in $M),ETN,26267.0,26516.0,22646.0,24077.0
Total assets(figures in $M),ETN,35029.0,34027.0,31824.0,32805.0
Current debt(figures in $M),ETN,334.0,1748.0,1048.0,503.0
Accounts payable(figures in $M),ETN,3080.0,2797.0,1987.0,2114.0
Other current liabilities(figures in $M),ETN,2494.0,2166.0,2540.0,2066.0
Total current liabilities(figures in $M),ETN,6375.0,7212.0,5926.0,5132.0
Long-term debt(figures in $M),ETN,8321.0,6831.0,7010.0,7819.0
Deferred tax liabilities(figures in $M),ETN,530.0,559.0,277.0,396.0
Other long-term liabilities(figures in $M),ETN,1443.0,1502.0,1394.0,1204.0
Total non-current liabilities(figures in $M),ETN,11579.0,10364.0,10925.0,11540.0
Total liabilities(figures in $M),ETN,17954.0,17576.0,16851.0,16672.0
Common stock(figures in $M),ETN,4.0,4.0,4.0,4.0
Retained earnings(figures in $M),ETN,8468.0,7594.0,6794.0,8170.0
Accumulated other comprehensive income(figures in $M),ETN,-3946.0,-3633.0,-4195.0,-4290.0
Total stockholders' equity(figures in $M),ETN,17038.0,16413.0,14930.0,16082.0
Total liabilities and stockholders' equity(figures in $M),ETN,35029.0,34027.0,31824.0,32805.0
