,ticker,2023,2024,2025,2026
Revenue(In $M),ETN,"22,656","23,968","25,226","26,911"
Dividend,ETN,3.39,3.59,3.83,-
Dividend Yield (in %),ETN,1.96 %,2.06 %,2.18 %,-
EPS,ETN,8.39,9.20,10.04,11.03
P/E Ratio,ETN,20.09,18.31,16.78,15.27
EBIT(In $M),ETN,"4,581","4,933","4,732","4,924"
EBITDA(In $M),ETN,"4,641","5,119","5,449","5,865"
Net Profit(In $M),ETN,"3,365","3,612","3,877","4,193"
Net Profit Adjusted(In $M),ETN,"3,365","3,612","3,877","4,193"
Pre-Tax Profit(In $M),ETN,"3,671","4,031","4,276","3,825"
Net Profit (Adjusted)(In $M),ETN,"3,473","3,802","4,088",-
EPS (Non-GAAP) ex. SOE(In $),ETN,8.39,9.20,10.04,11.03
EPS (GAAP)(In $),ETN,7.40,8.30,9.01,10.07
Gross Income(In $M),ETN,"8,048","8,557","9,203","9,758"
Cash Flow from Investing(In $M),ETN,-677,-663,-737,-
Cash Flow from Operations(In $M),ETN,"3,218","4,263","4,524","4,732"
Cash Flow from Financing(In $M),ETN,"-1,974","-2,452","-2,332",-
Cash Flow per Share(In $),ETN,9.53,11.08,11.52,-
Free Cash Flow(In $M),ETN,"2,817","3,565","3,823","4,116"
Free Cash Flow per Share(In $),ETN,6.83,9.09,9.60,11.45
Book Value per Share(In $),ETN,46.16,49.75,53.86,-
Net Debt(In $M),ETN,"7,189","5,905","4,547","6,563"
Research & Development Exp.(In $M),ETN,715,753,805,856
Capital Expenditure(In $M),ETN,676,689,744,820
"Selling, General & Admin. Exp.(In $M)",ETN,"3,309","3,447","3,926","4,058"
Shareholder’s Equity(In $M),ETN,"18,455","19,731","20,962","18,634"
Total Assets(In $M),ETN,"36,024","37,026","38,350","37,549"
