,ticker,2023,2024,2025,2026
Revenue(In $M),MA,"25,196","28,648","32,491","35,478"
Dividend,MA,2.14,2.24,2.48,3.84
Dividend Yield (in %),MA,0.60 %,0.63 %,0.75 %,1.08 %
EPS,MA,12.30,14.62,17.38,19.20
P/E Ratio,MA,30.51,25.68,21.59,19.55
EBIT(In $M),MA,"14,650","16,971","19,614","21,218"
EBITDA(In $M),MA,"15,533","17,938","20,601","22,061"
Net Profit(In $M),MA,"11,643","13,541","15,668","16,520"
Net Profit Adjusted(In $M),MA,"11,647","13,546","15,716","16,520"
Pre-Tax Profit(In $M),MA,"14,179","16,610","19,207","20,911"
Net Profit (Adjusted)(In $M),MA,"13,980","16,553","19,020","20,911"
EPS (Non-GAAP) ex. SOE(In $),MA,12.30,14.62,17.38,19.20
EPS (GAAP)(In $),MA,12.03,14.61,17.46,19.20
Gross Income(In $M),MA,-,-,"31,915",-
Cash Flow from Investing(In $M),MA,-948,-982,-870,-
Cash Flow from Operations(In $M),MA,"12,635","15,275","17,552",-
Cash Flow from Financing(In $M),MA,"-10,263","-10,976","-11,417",-
Cash Flow per Share(In $),MA,12.66,15.35,17.81,-
Free Cash Flow(In $M),MA,"11,883","14,375","16,965","21,167"
Free Cash Flow per Share(In $),MA,11.96,15.03,18.19,-
Book Value per Share(In $),MA,6.87,9.58,15.49,-
Net Debt(In $M),MA,"6,515","3,603","1,356","-4,107"
Research & Development Exp.(In $M),MA,838,993,-,-
Capital Expenditure(In $M),MA,436,882,"1,282","1,951"
"Selling, General & Admin. Exp.(In $M)",MA,"9,483","10,513","11,971",-
Shareholder’s Equity(In $M),MA,"6,758","9,196","12,100",-
Total Assets(In $M),MA,"43,203","48,275","52,208",-
