,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),ROST,"18,634","19,629","20,525","21,718","22,807","24,454"
Dividend,ROST,1.26,1.37,1.51,1.70,1.88,2.13
Dividend Yield (in %),ROST,1.22 %,1.33 %,1.47 %,1.68 %,1.83 %,-
EPS,ROST,4.31,4.98,5.48,6.16,6.78,8.30
P/E Ratio,ROST,24.14,20.93,19.00,16.89,15.36,12.54
EBIT(In $M),ROST,"1,972","2,091","2,320","2,567","2,867","3,546"
EBITDA(In $M),ROST,"2,373","2,582","2,825","3,068","3,292","4,044"
Net Profit(In $M),ROST,"1,489","1,668","1,794","1,951","2,178","2,672"
Net Profit Adjusted(In $M),ROST,"1,491","1,653","1,782","1,931",-,-
Pre-Tax Profit(In $M),ROST,"1,957","2,204","2,370","2,577","2,866","3,516"
Net Profit (Adjusted)(In $M),ROST,"1,956","2,244","2,454","2,699",-,-
EPS (Non-GAAP) ex. SOE(In $),ROST,4.31,4.98,5.48,6.16,6.78,8.30
EPS (GAAP)(In $),ROST,4.32,4.92,5.38,6.00,6.78,8.30
Gross Income(In $M),ROST,"4,752","5,085","5,455","5,914","6,241","6,920"
Cash Flow from Investing(In $M),ROST,-684,-,-,-,-906,-
Cash Flow from Operations(In $M),ROST,"1,705","2,309","2,611","2,701","3,167","4,217"
Cash Flow from Financing(In $M),ROST,"-1,441","-1,535","-1,632","-1,672","-2,003",-
Cash Flow per Share(In $),ROST,6.29,6.81,7.40,8.17,-,-
Free Cash Flow(In $M),ROST,"1,071","1,504","1,801","1,849","2,278","3,312"
Free Cash Flow per Share(In $),ROST,2.40,4.32,5.89,5.25,7.07,10.28
Book Value per Share(In $),ROST,12.34,13.35,14.45,14.09,14.40,-
Net Debt(In $M),ROST,"-1,611","-1,463","-1,327",-805,123,-
Research & Development Exp.(In $M),ROST,-,-,-,-,-,-
Capital Expenditure(In $M),ROST,685,813,792,773,889,905
"Selling, General & Admin. Exp.(In $M)",ROST,"2,779","2,979","3,106","3,224","3,376","3,375"
Shareholder’s Equity(In $M),ROST,"4,257","4,500","4,697","4,672","4,538",-
Total Assets(In $M),ROST,"13,744","13,800","14,101","13,615","13,866",-
