,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),WMT,"606,594","632,287","654,915","677,884","696,663","728,808"
Dividend,WMT,2.26,2.30,2.35,2.39,2.56,2.50
Dividend Yield (in %),WMT,1.64 %,1.67 %,1.71 %,1.74 %,1.85 %,1.81 %
EPS,WMT,6.09,6.11,6.81,7.54,7.70,8.37
P/E Ratio,WMT,24.74,24.63,22.12,19.98,19.57,18.00
EBIT(In $M),WMT,"24,232","25,284","27,178","28,983","29,190","31,049"
EBITDA(In $M),WMT,"35,009","36,895","39,345","41,451","42,312","44,752"
Net Profit(In $M),WMT,"16,778","16,420","17,974","19,502","19,608","20,993"
Net Profit Adjusted(In $M),WMT,"16,612","16,427","17,932","19,387","19,608","20,993"
Pre-Tax Profit(In $M),WMT,"22,496","22,505","24,621","26,419","25,267","26,133"
Net Profit (Adjusted)(In $M),WMT,"18,633","22,500","24,335","25,612",-,-
EPS (Non-GAAP) ex. SOE(In $),WMT,6.09,6.11,6.81,7.54,7.70,8.37
EPS (GAAP)(In $),WMT,3.83,6.08,6.75,7.22,7.41,7.88
Gross Income(In $M),WMT,"141,773","148,122","154,213","164,401","168,147","176,079"
Cash Flow from Investing(In $M),WMT,"-18,106","-12,799","-11,111","-6,170","-14,568","-15,681"
Cash Flow from Operations(In $M),WMT,"29,810","30,038","32,032","31,759","31,415","32,704"
Cash Flow from Financing(In $M),WMT,"-10,644","-12,546","-15,703","-15,513","-16,215","-16,915"
Cash Flow per Share(In $),WMT,10.41,10.69,11.96,11.82,12.16,-
Free Cash Flow(In $M),WMT,"14,371","12,751","15,159","15,923","18,726","20,380"
Free Cash Flow per Share(In $),WMT,3.14,4.03,5.85,6.89,7.46,8.41
Book Value per Share(In $),WMT,28.43,31.04,32.74,34.05,30.90,-
Net Debt(In $M),WMT,"37,982","40,944","39,696","40,451",-,-
Research & Development Exp.(In $M),WMT,-,-,-,-,-,-
Capital Expenditure(In $M),WMT,"16,680","17,003","16,506","16,176","15,770","17,170"
"Selling, General & Admin. Exp.(In $M)",WMT,"124,274","128,117","132,791","136,728","140,516","144,812"
Shareholder’s Equity(In $M),WMT,"79,179","83,123","87,150","89,087","91,497","94,035"
Total Assets(In $M),WMT,"249,635","251,555","258,788","266,208","272,016","294,300"
