,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),WMT,611289.0,611289.0,572754.0,559151.0,523964.0
Cost of revenue(figures in $M),WMT,463721.0,463721.0,429000.0,420315.0,394605.0
Gross profit(figures in $M),WMT,147568.0,147568.0,143754.0,138836.0,129359.0
Selling general and administrative(figures in $M),WMT,127140.0,127140.0,117812.0,116288.0,108791.0
Total operating expenses(figures in $M),WMT,127140.0,127140.0,117812.0,116288.0,108791.0
Operating income or loss(figures in $M),WMT,20428.0,20428.0,25942.0,22548.0,20568.0
Interest expense(figures in $M),WMT,2128.0,2128.0,1994.0,2315.0,2599.0
Total other income/expenses net(figures in $M),WMT,-1538.0,-1538.0,-5410.0,210.0,1958.0
Income before tax(figures in $M),WMT,17016.0,17016.0,18696.0,20564.0,20116.0
Income tax expense(figures in $M),WMT,5724.0,5724.0,4756.0,6858.0,4915.0
Income from continuing operations(figures in $M),WMT,11292.0,11292.0,13940.0,13706.0,15201.0
Net income(figures in $M),WMT,11680.0,11680.0,13673.0,13510.0,14881.0
Net income available to common shareholders(figures in $M),WMT,11680.0,11680.0,13673.0,13510.0,14881.0
Basic EPS(figures in $M),WMT,,4.2900000000000004e-06,4.9000000000000005e-06,4.769999999999999e-06,5.22e-06
Diluted EPS(figures in $M),WMT,,4.27e-06,4.87e-06,4.75e-06,5.19e-06
Basic average shares(figures in $M),WMT,,2724.0,2792.0,2831.0,2850.0
Diluted average shares(figures in $M),WMT,,2734.0,2805.0,2847.0,2868.0
EBITDA(figures in $M),WMT,,30089.0,31348.0,34031.0,33702.0
