,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),TDC,1795.0,1795.0,1917.0,1836.0,1899.0
Cost of revenue(figures in $M),TDC,714.0,714.0,731.0,817.0,944.0
Gross profit(figures in $M),TDC,1081.0,1081.0,1186.0,1019.0,955.0
Research development(figures in $M),TDC,313.0,313.0,309.0,334.0,328.0
Selling general and administrative(figures in $M),TDC,650.0,650.0,646.0,669.0,621.0
Total operating expenses(figures in $M),TDC,963.0,963.0,955.0,1003.0,949.0
Operating income or loss(figures in $M),TDC,118.0,118.0,231.0,16.0,6.0
Interest expense(figures in $M),TDC,24.0,24.0,26.0,27.0,26.0
Total other income/expenses net(figures in $M),TDC,-42.0,-51.0,-39.0,-40.0,-23.0
Income before tax(figures in $M),TDC,67.0,67.0,192.0,-24.0,-17.0
Income tax expense(figures in $M),TDC,34.0,34.0,45.0,-153.0,7.0
Income from continuing operations(figures in $M),TDC,33.0,33.0,147.0,129.0,-24.0
Net income(figures in $M),TDC,33.0,33.0,147.0,129.0,-24.0
Net income available to common shareholders(figures in $M),TDC,33.0,33.0,147.0,129.0,-24.0
Basic EPS(figures in $M),TDC,,3.2e-07,1.35e-06,1.18e-06,-1.8e-07
Diluted EPS(figures in $M),TDC,,3.1e-07,1.3e-06,1.16e-06,-1.8e-07
Basic average shares(figures in $M),TDC,,103.2,108.6,109.3,114.2
Diluted average shares(figures in $M),TDC,,105.8,112.9,111.6,114.2
EBITDA(figures in $M),TDC,,252.0,380.0,188.0,156.0
