,ticker,2023,2024,2025,2026
Revenue(In $M),TDC,"1,825","1,905","2,048",-
Dividend,TDC,0.00,0.00,0.00,-
Dividend Yield (in %),TDC,-,-,-,-
EPS,TDC,1.98,2.39,3.05,-
P/E Ratio,TDC,20.79,17.17,13.48,-
EBIT(In $M),TDC,307,361,447,-
EBITDA(In $M),TDC,446,471,565,-
Net Profit(In $M),TDC,200,239,299,-
Net Profit Adjusted(In $M),TDC,200,239,299,-
Pre-Tax Profit(In $M),TDC,268,316,393,-
Net Profit (Adjusted)(In $M),TDC,132,196,-,-
EPS (Non-GAAP) ex. SOE(In $),TDC,2.51,3.10,-,-
EPS (GAAP)(In $),TDC,0.76,1.18,-,-
Gross Income(In $M),TDC,"1,113","1,196","1,321",-
Cash Flow from Investing(In $M),TDC,-26,-28,-33,-
Cash Flow from Operations(In $M),TDC,364,413,501,-
Cash Flow from Financing(In $M),TDC,-155,-166,-187,-
Cash Flow per Share(In $),TDC,3.61,3.88,-,-
Free Cash Flow(In $M),TDC,337,386,471,-
Free Cash Flow per Share(In $),TDC,3.31,3.93,-,-
Book Value per Share(In $),TDC,1.90,1.41,0.79,-
Net Debt(In $M),TDC,-292,-552,-694,-
Research & Development Exp.(In $M),TDC,280,290,299,-
Capital Expenditure(In $M),TDC,25,29,31,90
"Selling, General & Admin. Exp.(In $M)",TDC,556,569,609,-
Shareholder’s Equity(In $M),TDC,267,-,326,569
Total Assets(In $M),TDC,"2,051","2,159","2,254",-
