,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),CLX,7065.0,7107.0,7341.0,6721.0,6214.0
Cost of revenue(figures in $M),CLX,4502.0,4562.0,4142.0,3658.0,3486.0
Gross profit(figures in $M),CLX,2563.0,2545.0,3199.0,3063.0,2728.0
Research development(figures in $M),CLX,130.0,132.0,149.0,145.0,136.0
Selling general and administrative(figures in $M),CLX,1697.0,1663.0,1794.0,1644.0,1468.0
Total operating expenses(figures in $M),CLX,1858.0,1795.0,1943.0,1789.0,1604.0
Operating income or loss(figures in $M),CLX,705.0,750.0,1256.0,1274.0,1124.0
Interest expense(figures in $M),CLX,103.0,106.0,99.0,99.0,97.0
Total other income/expenses net(figures in $M),CLX,-32.0,-37.0,-257.0,10.0,-3.0
Income before tax(figures in $M),CLX,575.0,607.0,900.0,1185.0,1024.0
Income tax expense(figures in $M),CLX,130.0,136.0,181.0,246.0,204.0
Income from continuing operations(figures in $M),CLX,445.0,471.0,719.0,939.0,820.0
Net income(figures in $M),CLX,435.0,462.0,710.0,939.0,820.0
Net income available to common shareholders(figures in $M),CLX,435.0,462.0,710.0,939.0,820.0
Basic EPS(figures in $M),CLX,,3.75e-06,5.66e-06,7.46e-06,6.4199999999999995e-06
Diluted EPS(figures in $M),CLX,,3.73e-06,5.58e-06,7.360000000000001e-06,6.3200000000000005e-06
Basic average shares(figures in $M),CLX,,123.113,125.57,125.828,127.734
Diluted average shares(figures in $M),CLX,,123.906,127.299,127.671,129.792
EBITDA(figures in $M),CLX,,713.0,999.0,1284.0,1121.0
