,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),KR,"148,416","152,025","152,861","155,588","161,177","164,797"
Dividend,KR,0.97,0.98,1.09,1.38,1.35,1.52
Dividend Yield (in %),KR,2.05 %,2.08 %,2.31 %,2.93 %,2.86 %,3.22 %
EPS,KR,4.15,4.51,4.49,4.66,5.09,5.53
P/E Ratio,KR,11.74,10.80,10.86,10.46,9.58,8.82
EBIT(In $M),KR,"4,396","4,834","4,786","4,873","5,292","5,468"
EBITDA(In $M),KR,"7,346","7,867","7,931","8,067","8,482","8,708"
Net Profit(In $M),KR,"3,024","3,279","3,309","3,442","3,645","3,786"
Net Profit Adjusted(In $M),KR,"3,024","3,279","3,309","3,442","3,645","3,786"
Pre-Tax Profit(In $M),KR,"3,865","4,249","4,236","4,361","5,060","5,173"
Net Profit (Adjusted)(In $M),KR,"3,758","3,948","3,391","3,978",-,-
EPS (Non-GAAP) ex. SOE(In $),KR,4.15,4.51,4.49,4.66,5.09,5.53
EPS (GAAP)(In $),KR,3.78,4.48,4.52,4.79,5.54,5.80
Gross Income(In $M),KR,"31,965","32,748","32,820","32,379","36,269","37,077"
Cash Flow from Investing(In $M),KR,"-1,819","-3,500","-3,350","-3,200","-3,200","-3,200"
Cash Flow from Operations(In $M),KR,"5,657","6,665","6,541","6,225","6,960","7,040"
Cash Flow from Financing(In $M),KR,"-2,253","-1,405",-779,"-1,267","-1,740","-2,032"
Cash Flow per Share(In $),KR,8.61,8.69,8.62,9.01,-,-
Free Cash Flow(In $M),KR,"2,527","3,577","3,102","3,057","4,089","4,264"
Free Cash Flow per Share(In $),KR,4.27,5.75,5.40,5.74,6.05,6.31
Book Value per Share(In $),KR,14.40,18.16,20.52,22.73,45.80,-
Net Debt(In $M),KR,"12,310","11,494","10,133","9,906",-,-
Research & Development Exp.(In $M),KR,-,-,-,-,-,-
Capital Expenditure(In $M),KR,"3,258","3,431","3,445","3,324","3,350","3,350"
"Selling, General & Admin. Exp.(In $M)",KR,"26,073","27,401","27,517","23,921","29,239",-
Shareholder’s Equity(In $M),KR,"10,636",-,-,-,-,-
Total Assets(In $M),KR,"50,609","51,970","54,464","57,908","61,231",-
