,2023,2022,2021,2020,2019,ticker
Current ratio,0.756,0.746,0.812,0.769,0.757,KR
Quick ratio,0.258,0.290,0.295,0.231,0.224,KR
Cash ratio,0.050,0.112,0.110,0.028,0.030,KR
Days of sales outstanding,5.500,4.839,4.837,5.050,4.787,KR
Days of inventory outstanding,23.690,23.022,25.375,27.134,26.332,KR
Operating cycle,29.190,27.861,30.212,32.184,31.119,KR
Days of payables outstanding,22.308,24.156,23.995,24.318,23.305,KR
Cash conversion cycle,6.882,3.705,6.217,7.866,7.814,KR
Gross profit margin,0.214,0.220,0.233,0.221,0.217,KR
Operating profit margin,0.028,0.025,0.021,0.018,0.022,KR
Pretax profit margin,0.020,0.015,0.025,0.016,0.033,KR
Net profit margin,0.015,0.012,0.020,0.014,0.026,KR
Effective tax rate,0.225,0.188,0.232,0.237,0.226,KR
Return on assets,0.045,0.034,0.053,0.037,0.082,KR
Return on equity,0.224,0.176,0.271,0.194,0.397,KR
Return on capital employed,0.125,0.106,0.084,0.073,0.110,KR
Net income per EBT,0.773,0.807,0.767,0.837,0.782,KR
Ebt per ebit,0.703,0.590,1.212,0.880,1.522,KR
Ebit per revenue,0.028,0.025,0.021,0.018,0.022,KR
Debt ratio,0.798,0.808,0.804,0.810,0.794,KR
Debt equity ratio,2.038,2.168,2.156,2.470,1.944,KR
Long term debt to capitalization,0.654,0.671,0.666,0.685,0.606,KR
Total debt to capitalization,0.671,0.684,0.683,0.712,0.660,KR
Interest coverage,7.712,6.089,5.110,3.733,4.216,KR
Cash flow to debt ratio,0.211,0.303,0.331,0.220,0.273,KR
Company equity multiplier,4.947,5.206,5.093,5.268,4.865,KR
Receivables turnover,66.364,75.431,75.454,72.273,76.250,KR
Payables turnover,16.362,15.110,15.211,15.009,15.662,KR
Inventory turnover,15.407,15.854,14.384,13.452,13.861,KR
Fixed asset turnover,4.723,4.523,4.540,4.275,5.600,KR
Asset turnover,2.993,2.809,2.724,2.708,3.179,KR
Operating cash flow per share,5.395,8.320,8.816,5.837,5.141,KR
Free cash flow per share,1.543,4.806,5.110,1.922,1.478,KR
Cash per share,2.572,3.902,3.600,1.975,1.988,KR
Payout ratio,0.304,0.356,0.207,0.293,0.141,KR
Operating cash flow sales ratio,0.029,0.045,0.051,0.038,0.034,KR
Free cash flow operating cash flow ratio,0.286,0.578,0.580,0.329,0.287,KR
Cash flow coverage ratios,0.211,0.303,0.331,0.220,0.273,KR
Short term coverage ratios,2.935,5.137,4.319,1.838,1.319,KR
Capital expenditure coverage ratio,-1.401,-2.368,-2.379,-1.491,-1.403,KR
Dividend paid and capex coverage ratio,-1.799,-3.057,-2.924,-1.765,-1.646,KR
Dividend payout ratio,0.304,0.356,0.207,0.293,0.141,KR
Price book value ratio,3.594,3.430,2.793,2.503,2.902,KR
Price to book ratio,3.594,3.430,2.793,2.503,2.902,KR
Price to sales ratio,0.243,0.235,0.201,0.175,0.188,KR
Price earnings ratio,16.041,19.542,10.317,12.936,7.311,KR
Price to free cash flows ratio,29.193,9.044,6.752,13.972,18.995,KR
Price to operating cash flows ratio,8.350,5.225,3.913,4.601,5.460,KR
Price cash flow ratio,8.350,5.225,3.913,4.601,5.460,KR
Price earnings to growth ratio,0.579,-0.583,0.168,-0.278,0.091,KR
Price sales ratio,0.243,0.235,0.201,0.175,0.188,KR
Dividend yield,0.019,0.018,0.020,0.023,0.019,KR
Enterprise value multiple,7.177,7.416,7.371,8.112,7.429,KR
Price fair value,3.594,3.430,2.793,2.503,2.902,KR
