,ticker,2023,2024,2025,2026
Revenue(In $M),IGT,"4,190","4,323","4,528","4,803"
Dividend,IGT,0.80,0.80,0.80,0.80
Dividend Yield (in %),IGT,2.91 %,3.34 %,3.34 %,3.34 %
EPS,IGT,1.71,1.90,2.35,1.48
P/E Ratio,IGT,15.81,14.30,11.53,18.32
EBIT(In $M),IGT,924,992,"1,095","1,050"
EBITDA(In $M),IGT,"1,674","1,760","1,816","1,808"
Net Profit(In $M),IGT,399,434,493,399
Net Profit Adjusted(In $M),IGT,399,434,493,399
Pre-Tax Profit(In $M),IGT,667,763,862,786
Net Profit (Adjusted)(In $M),IGT,660,750,862,786
EPS (Non-GAAP) ex. SOE(In $),IGT,1.71,1.90,2.35,1.48
EPS (GAAP)(In $),IGT,1.37,1.69,1.84,1.48
Gross Income(In $M),IGT,"1,609","1,657",-,-
Cash Flow from Investing(In $M),IGT,-422,-395,-,-
Cash Flow from Operations(In $M),IGT,"1,217","1,395","1,051","1,886"
Cash Flow from Financing(In $M),IGT,-848,-634,-,-
Cash Flow per Share(In $),IGT,4.74,5.28,5.30,4.58
Free Cash Flow(In $M),IGT,512,677,-148,644
Free Cash Flow per Share(In $),IGT,2.74,3.74,-,-
Book Value per Share(In $),IGT,9.13,10.06,11.53,8.90
Net Debt(In $M),IGT,"4,977","4,510","4,229","4,433"
Research & Development Exp.(In $M),IGT,250,253,-,-
Capital Expenditure(In $M),IGT,417,408,647,672
"Selling, General & Admin. Exp.(In $M)",IGT,846,858,-,-
Shareholder’s Equity(In $M),IGT,"1,907","2,141","2,294","1,824"
Total Assets(In $M),IGT,"9,801","9,372",-,-
