,ticker,2023,2024,2025
Revenue(In $M),AON,"13,289","13,992","14,708"
Dividend,AON,2.38,2.56,2.75
Dividend Yield (in %),AON,0.80 %,0.85 %,0.90 %
EPS,AON,14.44,16.22,18.02
P/E Ratio,AON,22.23,19.79,17.82
EBIT(In $M),AON,"4,181","4,476","4,755"
EBITDA(In $M),AON,"4,346","4,661","4,959"
Net Profit(In $M),AON,"2,966","3,227","3,446"
Net Profit Adjusted(In $M),AON,"2,966","3,227","3,446"
Pre-Tax Profit(In $M),AON,"3,667","3,988","4,262"
Net Profit (Adjusted)(In $M),AON,"3,801","4,140","3,866"
EPS (Non-GAAP) ex. SOE(In $),AON,14.44,16.22,18.02
EPS (GAAP)(In $),AON,14.14,15.96,17.62
Gross Income(In $M),AON,"5,987","6,347",-
Cash Flow from Investing(In $M),AON,-179,-179,-
Cash Flow from Operations(In $M),AON,"3,796","4,077","4,556"
Cash Flow from Financing(In $M),AON,-,-,-
Cash Flow per Share(In $),AON,16.24,18.26,19.14
Free Cash Flow(In $M),AON,"3,523","3,807","4,188"
Free Cash Flow per Share(In $),AON,16.64,18.77,20.83
Book Value per Share(In $),AON,3.78,6.30,-2.21
Net Debt(In $M),AON,"9,954","9,438","8,906"
Research & Development Exp.(In $M),AON,599,623,486
Capital Expenditure(In $M),AON,211,205,222
"Selling, General & Admin. Exp.(In $M)",AON,-,-,-
Shareholder’s Equity(In $M),AON,-902,"-1,358","-1,013"
Total Assets(In $M),AON,"34,674","33,972","34,551"
