,ticker,2023,2024,2025,2026
Revenue(In $M),YUM,"7,305","7,852","8,424","9,150"
Dividend,YUM,2.38,2.61,2.97,3.22
Dividend Yield (in %),YUM,1.89 %,2.06 %,2.37 %,2.64 %
EPS,YUM,5.12,5.91,6.76,7.93
P/E Ratio,YUM,26.66,23.07,20.19,17.20
EBIT(In $M),YUM,"2,401","2,640","2,908","3,175"
EBITDA(In $M),YUM,"2,538","2,791","3,078",-
Net Profit(In $M),YUM,"1,443","1,631","1,814","1,975"
Net Profit Adjusted(In $M),YUM,"1,442","1,633","1,827","1,975"
Pre-Tax Profit(In $M),YUM,"1,832","2,080","2,318","2,529"
Net Profit (Adjusted)(In $M),YUM,"1,817","2,040","2,248",-
EPS (Non-GAAP) ex. SOE(In $),YUM,5.12,5.91,6.76,7.93
EPS (GAAP)(In $),YUM,5.11,5.90,6.77,7.98
Gross Income(In $M),YUM,"3,521","3,762","4,063",-
Cash Flow from Investing(In $M),YUM,-158,-159,-118,-411
Cash Flow from Operations(In $M),YUM,"1,634","1,803","1,949","2,011"
Cash Flow from Financing(In $M),YUM,"-1,384","-1,452","-1,779","-2,248"
Cash Flow per Share(In $),YUM,6.02,6.66,7.66,-
Free Cash Flow(In $M),YUM,"1,346","1,519","1,666",-
Free Cash Flow per Share(In $),YUM,4.32,4.98,6.60,-
Book Value per Share(In $),YUM,-32.21,-34.17,-36.01,-
Net Debt(In $M),YUM,"11,755","12,028","12,406",-
Research & Development Exp.(In $M),YUM,-,-,-,-
Capital Expenditure(In $M),YUM,292,293,320,411
"Selling, General & Admin. Exp.(In $M)",YUM,-,-,-,-
Shareholder’s Equity(In $M),YUM,"-8,861","-9,113","-9,916","-11,163"
Total Assets(In $M),YUM,"6,011","6,181","7,671","7,438"
