,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),LH,14876.8,14876.8,16120.9,13978.5,11554.8
Cost of revenue(figures in $M),LH,10491.7,10491.7,10496.6,9025.7,8302.3
Gross profit(figures in $M),LH,4385.1,4385.1,5624.3,4952.8,3252.5
Selling general and administrative(figures in $M),LH,1996.6,1996.6,1952.1,1729.3,1624.5
Total operating expenses(figures in $M),LH,2255.9,2255.9,2321.7,2004.7,1867.7
Operating income or loss(figures in $M),LH,2129.2,2129.2,3302.6,2948.1,1384.8
Interest expense(figures in $M),LH,180.3,180.3,212.1,207.4,240.7
Total other income/expenses net(figures in $M),LH,-366.3,-366.3,36.1,-521.6,-39.2
Income before tax(figures in $M),LH,1582.6,1582.6,3126.6,2219.1,1104.9
Income tax expense(figures in $M),LH,302.0,302.0,747.1,662.1,280.0
Income from continuing operations(figures in $M),LH,1280.6,1280.6,2379.5,1557.0,824.9
Net income(figures in $M),LH,1279.1,1279.1,2377.3,1556.1,823.8
Net income available to common shareholders(figures in $M),LH,1279.1,1279.1,2377.3,1556.1,823.8
Basic EPS(figures in $M),LH,,,2.46e-05,1.599e-05,8.42e-06
Diluted EPS(figures in $M),LH,,,2.4390000000000002e-05,1.588e-05,8.35e-06
Basic average shares(figures in $M),LH,,,96.7,97.3,97.9
Diluted average shares(figures in $M),LH,,,97.5,98.0,98.6
EBITDA(figures in $M),LH,,2396.8,4083.8,3051.2,1922.8
