,2019,2018,2017,2016,2015,ticker
Current ratio,1.315,1.476,1.579,1.635,1.614,CBS
Quick ratio,0.911,0.993,1.071,1.195,1.187,CBS
Cash ratio,0.070,0.070,0.072,0.161,0.091,CBS
Days of sales outstanding,94.570,101.624,98.554,91.874,95.364,CBS
Days of inventory outstanding,0,0,0,0,0,CBS
Days of payables outstanding,0,0,0,0,0,CBS
Gross profit margin,1,1,1,1,1,CBS
Operating profit margin,0.154,0.191,0.177,0.199,0.174,CBS
Pretax profit margin,0.120,0.120,0.145,0.169,0.146,CBS
Net profit margin,0.119,0.135,0.026,0.096,0.102,CBS
Effective tax rate,-0.003,0.157,0.320,0.282,0.290,CBS
Return on assets,0.067,0.090,0.017,0.052,0.059,CBS
Return on equity,0.250,0.699,0.180,0.342,0.254,CBS
Return on capital employed,0.106,0.160,0.144,0.128,0.120,CBS
Net income per EBT,0.989,1.124,0.180,0.565,0.698,CBS
Ebt per ebit,0.783,0.630,0.817,0.851,0.837,CBS
Ebit per revenue,0.154,0.191,0.177,0.199,0.174,CBS
Debt ratio,0.733,0.872,0.905,0.848,0.766,CBS
Debt equity ratio,2.749,6.796,9.537,5.570,3.272,CBS
Long term debt to capitalization,0.001,0.000,0.000,0.000,0.000,CBS
Total debt to capitalization,0.053,0.005,0.010,0.006,0.038,CBS
Interest coverage,4.442,5.927,5.302,6.377,6.166,CBS
Cash flow to debt ratio,1.673,109.583,46.638,73.188,6.273,CBS
Company equity multiplier,3.749,7.796,10.537,6.570,4.272,CBS
Receivables turnover,3.860,3.592,3.704,3.973,3.827,CBS
Payables turnover,0,0,0,0,0,CBS
Inventory turnover,0,0,0,0,0,CBS
Fixed asset turnover,14.343,12.005,10.697,10.609,9.883,CBS
Asset turnover,0.562,0.664,0.657,0.543,0.584,CBS
Operating cash flow per share,2,3.782,2.212,3.795,2.880,CBS
Free cash flow per share,1.426,3.345,1.751,3.354,2.481,CBS
Cash per share,1.680,1.321,1.392,2.518,1.238,CBS
Payout ratio,0.180,0.141,0.829,0.228,0.212,CBS
Operating cash flow sales ratio,0.044,0.098,0.065,0.128,0.100,CBS
Free cash flow operating cash flow ratio,0.713,0.884,0.791,0.884,0.862,CBS
Cash flow coverage ratios,1.673,109.583,46.638,73.188,6.273,CBS
Short term coverage ratios,1.715,109.692,46.684,73.261,6.279,CBS
Capital expenditure coverage ratio,-3.484,-8.642,-4.795,-8.597,-7.223,CBS
Dividend paid and capex coverage ratio,5.083,12.847,7.991,18.315,13.028,CBS
Dividend payout ratio,0.180,0.141,0.829,0.228,0.212,CBS
Price book value ratio,1.899,5.878,11.961,7.657,4.100,CBS
Price to book ratio,1.899,5.878,11.961,7.657,4.100,CBS
Price to sales ratio,0.902,1.136,1.728,2.145,1.643,CBS
Price earnings ratio,7.580,8.409,66.272,22.401,16.144,CBS
Price to free cash flows ratio,28.590,13.071,33.702,18.971,18.993,CBS
Price to operating cash flows ratio,20.385,11.559,26.673,16.764,16.364,CBS
Price cash flow ratio,20.385,11.559,26.673,16.764,16.364,CBS
Price earnings to growth ratio,2.190,0.017,-0.965,-8.244,-0.353,CBS
Price sales ratio,0.902,1.136,1.728,2.145,1.643,CBS
Dividend yield,0.024,0.017,0.013,0.010,0.013,CBS
Enterprise value multiple,1.459,5.533,14.008,10.959,8.551,CBS
Price fair value,1.899,5.878,11.961,7.657,4.100,CBS
