,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CVX,"206,934","208,734","191,770","189,472","188,110"
Dividend,CVX,6.03,6.35,6.72,6.97,-
Dividend Yield (in %),CVX,3.74 %,3.93 %,4.17 %,4.32 %,-
EPS,CVX,14.39,14.59,14.75,15.42,13.12
P/E Ratio,CVX,10.85,10.70,10.59,10.13,11.91
EBIT(In $M),CVX,"36,826","34,919","32,493","32,421","32,849"
EBITDA(In $M),CVX,"55,268","55,311","54,155","50,444","48,013"
Net Profit(In $M),CVX,"26,717","26,298","24,741","23,231","22,043"
Net Profit Adjusted(In $M),CVX,"26,842","26,427","24,767","22,861","20,662"
Pre-Tax Profit(In $M),CVX,"37,175","34,783","31,832","32,205","32,645"
Net Profit (Adjusted)(In $M),CVX,"36,608","34,842","32,798",-,-
EPS (Non-GAAP) ex. SOE(In $),CVX,14.39,14.59,14.75,15.42,13.12
EPS (GAAP)(In $),CVX,14.04,14.22,14.71,13.56,13.12
Gross Income(In $M),CVX,"86,999","88,353","75,323",-,-
Cash Flow from Investing(In $M),CVX,"-10,423","-10,800","-9,771","-13,336","-14,396"
Cash Flow from Operations(In $M),CVX,"41,534","43,608","42,437","39,600","38,494"
Cash Flow from Financing(In $M),CVX,"-28,099","-27,499","-26,930","-19,808","-17,031"
Cash Flow per Share(In $),CVX,22.28,24.19,25.11,22.68,22.74
Free Cash Flow(In $M),CVX,"27,214","28,210","29,113","17,438",-
Free Cash Flow per Share(In $),CVX,13.53,14.87,17.40,-,-
Book Value per Share(In $),CVX,85.26,87.09,87.84,97.61,-
Net Debt(In $M),CVX,"6,698","7,350","6,209","-2,921",-
Research & Development Exp.(In $M),CVX,-,-,-,-,-
Capital Expenditure(In $M),CVX,"14,053","14,619","14,823","14,397","14,144"
"Selling, General & Admin. Exp.(In $M)",CVX,0,0,-,-,-
Shareholder’s Equity(In $M),CVX,"157,236","155,734","154,556","145,916","138,033"
Total Assets(In $M),CVX,"255,577","256,257","278,534","300,293","311,518"
