,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CVS,"339,994","329,710","345,565","364,050","382,590"
Dividend,CVS,2.34,-,2.55,3.09,-
Dividend Yield (in %),CVS,3.06 %,3.30 %,3.44 %,4.09 %,-
EPS,CVS,8.69,9.01,9.88,10.88,11.92
P/E Ratio,CVS,8.18,7.89,7.20,6.54,5.97
EBIT(In $M),CVS,"17,479","17,830","18,820","20,639","22,303"
EBITDA(In $M),CVS,"19,929","20,380","21,245","21,470","22,321"
Net Profit(In $M),CVS,"9,805","10,558","11,007","11,912","12,875"
Net Profit Adjusted(In $M),CVS,"11,263","11,412","12,169","13,216","14,179"
Pre-Tax Profit(In $M),CVS,"15,136","15,358","16,283","16,922","18,202"
Net Profit (Adjusted)(In $M),CVS,"13,584","14,093","14,654",-,-
EPS (Non-GAAP) ex. SOE(In $),CVS,8.69,9.01,9.88,10.88,11.92
EPS (GAAP)(In $),CVS,7.64,8.04,8.68,9.14,10.42
Gross Income(In $M),CVS,"55,502","57,507","60,420","67,034","70,183"
Cash Flow from Investing(In $M),CVS,-,-,"-3,609","-5,028","-5,171"
Cash Flow from Operations(In $M),CVS,-,-,"15,811","16,945","18,044"
Cash Flow from Financing(In $M),CVS,-,-,"-7,511","-7,007","-6,908"
Cash Flow per Share(In $),CVS,9.91,10.17,10.46,-,-
Free Cash Flow(In $M),CVS,"12,333",-,"14,735","14,564","16,115"
Free Cash Flow per Share(In $),CVS,8.48,9.45,-,-,-
Book Value per Share(In $),CVS,56.47,-,63.29,-,-
Net Debt(In $M),CVS,"44,755","43,407","39,975",-,-
Research & Development Exp.(In $M),CVS,-,-,-,-,-
Capital Expenditure(In $M),CVS,"2,882","2,866","2,951","3,000","3,101"
"Selling, General & Admin. Exp.(In $M)",CVS,"38,330","40,972","42,349",-,-
Shareholder’s Equity(In $M),CVS,"75,075","76,872","80,798","86,770","91,854"
Total Assets(In $M),CVS,"239,246","240,449","247,462","255,560","264,227"
