,2022,2021,2020,2019,2017,ticker
Current ratio,2.184,2.181,0.063,0.185,0.993,PX
Quick ratio,2.004,2.090,0.060,0.179,0.952,PX
Cash ratio,0.504,1.457,0.041,0.157,0.187,PX
Days of sales outstanding,105.474,43.070,27.962,21.176,57.573,PX
Days of inventory outstanding,0,0,0,0,34.719,PX
Days of payables outstanding,9.979,0,0,0,54.962,PX
Gross profit margin,0.525,1,1,1,0.436,PX
Operating profit margin,0.219,0.268,0.129,0.285,0.214,PX
Pretax profit margin,0.179,0.025,-0.045,0.032,0.200,PX
Net profit margin,0.147,0.072,0.353,0.266,0.109,PX
Effective tax rate,0.171,-1.912,8.854,-7.298,0.449,PX
Return on assets,0.035,0.016,0.041,0.059,0.061,PX
Return on equity,0.074,0.027,0.398,0.331,0.207,PX
Return on capital employed,0.055,0.062,0.029,0.153,0.143,PX
Net income per EBT,0.824,2.912,-7.854,8.298,0.545,PX
Ebt per ebit,0.817,0.092,-0.349,0.112,0.934,PX
Ebit per revenue,0.219,0.268,0.129,0.285,0.214,PX
Debt ratio,0.475,0.416,0.897,0.822,0.706,PX
Debt equity ratio,0.830,0.577,4.975,4.229,1.456,PX
Long term debt to capitalization,0.439,0.366,0.398,0.568,0.564,PX
Total debt to capitalization,0.454,0.366,0.833,0.809,0.593,PX
Interest coverage,4.568,1.819,0.741,1.127,15.205,PX
Cash flow to debt ratio,0.189,0.215,0.036,0.110,0.347,PX
Company equity multiplier,2.102,1.711,9.733,5.627,3.396,PX
Receivables turnover,3.461,8.475,13.053,17.237,6.340,PX
Payables turnover,36.578,0,0,0,6.641,PX
Inventory turnover,0,0,0,0,10.513,PX
Fixed asset turnover,10.551,9.546,8.847,7.800,0.949,PX
Asset turnover,0.240,0.223,0.116,0.221,0.560,PX
Operating cash flow per share,0.528,0.675,0.091,0.144,10.637,PX
Free cash flow per share,0.516,0.672,0.091,0.143,6.051,PX
Cash per share,0.191,0.563,0.100,0.160,4.701,PX
Payout ratio,0.360,0.215,0,0,0.723,PX
Operating cash flow sales ratio,0.311,0.326,0.158,0.374,0.266,PX
Free cash flow operating cash flow ratio,0.976,0.997,0.997,0.998,0.569,PX
Cash flow coverage ratios,0.189,0.215,0.036,0.110,0.347,PX
Short term coverage ratios,3.323,-6.127 K,0.041,0.160,3.106,PX
Capital expenditure coverage ratio,-41.984,-308.296,-313.824,-560.433,-2.320,PX
Dividend paid and capex coverage ratio,6.813,22.757,-313.824,-560.433,-7.417,PX
Dividend payout ratio,0.360,0.215,0,0,0.723,PX
Price book value ratio,3.169,2.571,23.650,39.267,0.574,PX
Price to book ratio,3.169,2.571,23.650,39.267,0.574,PX
Price to sales ratio,6.280,6.748,21.008,31.518,0.302,PX
Price earnings ratio,42.653,94.343,59.449,118.519,2.770,PX
Price to free cash flows ratio,20.691,20.790,133.061,84.326,1.996,PX
Price to operating cash flows ratio,20.198,20.722,132.637,84.175,1.136,PX
Price cash flow ratio,20.198,20.722,132.637,84.175,1.136,PX
Price earnings to growth ratio,0.462,-2.696,0.594,0,-0.163,PX
Price sales ratio,6.280,6.748,21.008,31.518,0.302,PX
Dividend yield,0.008,0.002,0,0,0.261,PX
Enterprise value multiple,20.525,15.930,70.124,66.214,3.206,PX
Price fair value,3.169,2.571,23.650,39.267,0.574,PX
