,ticker,2023,2024,2025
Revenue(In $M),PX,234,271,295
Dividend,PX,0.12,0.13,0.12
Dividend Yield (in %),PX,1.33 %,1.48 %,1.33 %
EPS,PX,0.84,1.03,1.21
P/E Ratio,PX,12.03,9.80,8.39
EBIT(In $M),PX,72,-,173
EBITDA(In $M),PX,120,142,174
Net Profit(In $M),PX,100,125,127
Net Profit Adjusted(In $M),PX,100,125,127
Pre-Tax Profit(In $M),PX,63,86,126
Net Profit (Adjusted)(In $M),PX,53,81,-
EPS (Non-GAAP) ex. SOE(In $),PX,0.85,1.02,1.25
EPS (GAAP)(In $),PX,0.63,0.87,0.88
Gross Income(In $M),PX,-,-,-
Cash Flow from Investing(In $M),PX,95,-,-
Cash Flow from Operations(In $M),PX,100,-,-
Cash Flow from Financing(In $M),PX,29,-,-
Cash Flow per Share(In $),PX,0.85,1.12,1.16
Free Cash Flow(In $M),PX,12,12,-
Free Cash Flow per Share(In $),PX,-,-,-
Book Value per Share(In $),PX,3.85,4.80,5.13
Net Debt(In $M),PX,232,191,108
Research & Development Exp.(In $M),PX,-,-,-
Capital Expenditure(In $M),PX,0,-,-
"Selling, General & Admin. Exp.(In $M)",PX,128,134,-
Shareholder’s Equity(In $M),PX,-,-,-
Total Assets(In $M),PX,656,656,-
