,ticker,2023,2024,2025
Revenue(In $M),HOG,"5,188","5,436","5,739"
Dividend,HOG,0.65,0.74,0.82
Dividend Yield (in %),HOG,1.56 %,1.82 %,1.96 %
EPS,HOG,4.74,5.03,5.24
P/E Ratio,HOG,7.23,6.81,6.53
EBIT(In $M),HOG,865,917,962
EBITDA(In $M),HOG,"1,057","1,112","1,152"
Net Profit(In $M),HOG,702,724,777
Net Profit Adjusted(In $M),HOG,717,717,796
Pre-Tax Profit(In $M),HOG,905,942,"1,013"
Net Profit (Adjusted)(In $M),HOG,882,-,-
EPS (Non-GAAP) ex. SOE(In $),HOG,4.74,5.03,5.24
EPS (GAAP)(In $),HOG,4.79,5.08,5.26
Gross Income(In $M),HOG,"1,689","1,745","1,808"
Cash Flow from Investing(In $M),HOG,-600,-393,-
Cash Flow from Operations(In $M),HOG,847,"1,078",-
Cash Flow from Financing(In $M),HOG,-75,-272,-
Cash Flow per Share(In $),HOG,7.80,7.15,6.55
Free Cash Flow(In $M),HOG,619,835,-
Free Cash Flow per Share(In $),HOG,4.19,5.75,-
Book Value per Share(In $),HOG,22.23,26.10,30.53
Net Debt(In $M),HOG,"5,205","5,206","5,119"
Research & Development Exp.(In $M),HOG,-,-,-
Capital Expenditure(In $M),HOG,221,235,220
"Selling, General & Admin. Exp.(In $M)",HOG,964,998,964
Shareholder’s Equity(In $M),HOG,"3,308","3,859","4,184"
Total Assets(In $M),HOG,"12,262","12,881",-
