,ticker,2023,2024,2025,2026
Revenue(In $M),DVA,"11,707","12,104","12,466","14,564"
Dividend,DVA,0.00,0.00,-,-
Dividend Yield (in %),DVA,-,-,-,-
EPS,DVA,6.28,7.35,8.75,14.97
P/E Ratio,DVA,14.16,12.09,10.16,5.94
EBIT(In $M),DVA,"1,471","1,554","1,652","2,250"
EBITDA(In $M),DVA,"2,190","2,271","2,382",-
Net Profit(In $M),DVA,579,664,743,"1,287"
Net Profit Adjusted(In $M),DVA,577,679,785,"1,287"
Pre-Tax Profit(In $M),DVA,922,"1,042","1,136","2,036"
Net Profit (Adjusted)(In $M),DVA,814,915,"1,042",-
EPS (Non-GAAP) ex. SOE(In $),DVA,6.28,7.35,8.75,14.97
EPS (GAAP)(In $),DVA,6.13,7.38,8.26,14.97
Gross Income(In $M),DVA,"3,431","3,518","3,756","4,602"
Cash Flow from Investing(In $M),DVA,588,580,513,-964
Cash Flow from Operations(In $M),DVA,"1,418","1,512","1,653","2,536"
Cash Flow from Financing(In $M),DVA,-664,-684,-700,-709
Cash Flow per Share(In $),DVA,11.56,13.09,8.89,-
Free Cash Flow(In $M),DVA,971,864,950,-
Free Cash Flow per Share(In $),DVA,-,-,-,-
Book Value per Share(In $),DVA,16.90,23.97,35.32,-
Net Debt(In $M),DVA,"9,314","8,747","6,828",-
Research & Development Exp.(In $M),DVA,-,-,-,-
Capital Expenditure(In $M),DVA,622,623,682,-
"Selling, General & Admin. Exp.(In $M)",DVA,"1,282","1,312",-,-
Shareholder’s Equity(In $M),DVA,"1,536","2,142","3,183","6,361"
Total Assets(In $M),DVA,"18,910","19,839","20,804","21,863"
