,ticker,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Cash and cash equivalents(figures in $M),ORCL,21383.0,30098.0,37239.0,20514.0
Other short-term investments(figures in $M),ORCL,519.0,16456.0,5818.0,17313.0
Total cash(figures in $M),ORCL,21902.0,46554.0,43057.0,37827.0
Net receivables(figures in $M),ORCL,5953.0,5409.0,5551.0,5134.0
Total current assets(figures in $M),ORCL,31633.0,55567.0,52140.0,46386.0
"Gross property, plant and equipment(figures in $M)",ORCL,19674.0,15800.0,13825.0,13075.0
Accumulated depreciation(figures in $M),ORCL,-9958.0,-8751.0,-7581.0,-6823.0
"Net property, plant and equipment(figures in $M)",ORCL,9716.0,7049.0,6244.0,6252.0
Goodwill(figures in $M),ORCL,43811.0,43935.0,43769.0,43779.0
Intangible assets(figures in $M),ORCL,1440.0,2430.0,3738.0,5279.0
Other long-term assets(figures in $M),ORCL,9915.0,8490.0,6295.0,4317.0
Total non-current assets(figures in $M),ORCL,77664.0,75540.0,63298.0,62323.0
Total assets(figures in $M),ORCL,109297.0,131107.0,115438.0,108709.0
Current debt(figures in $M),ORCL,3749.0,8250.0,2371.0,4494.0
Accounts payable(figures in $M),ORCL,1317.0,745.0,637.0,580.0
Deferred revenues(figures in $M),ORCL,8357.0,8775.0,8002.0,8374.0
Other current liabilities(figures in $M),ORCL,4144.0,4377.0,4737.0,3554.0
Total current liabilities(figures in $M),ORCL,19511.0,24164.0,17200.0,18630.0
Long-term debt(figures in $M),ORCL,72110.0,75995.0,69226.0,51673.0
Deferred tax liabilities(figures in $M),ORCL,6031.0,7864.0,0.0,0.0
Other long-term liabilities(figures in $M),ORCL,5203.0,4787.0,3832.0,2748.0
Total non-current liabilities(figures in $M),ORCL,95554.0,100991.0,85521.0,67716.0
Total liabilities(figures in $M),ORCL,115065.0,125155.0,102721.0,86346.0
Common stock(figures in $M),ORCL,26808.0,26533.0,26486.0,26909.0
Retained earnings(figures in $M),ORCL,-31336.0,-20120.0,-12696.0,-3496.0
Accumulated other comprehensive income(figures in $M),ORCL,-1692.0,-1175.0,-1716.0,-1628.0
Total stockholders' equity(figures in $M),ORCL,-5768.0,5952.0,12717.0,22363.0
Total liabilities and stockholders' equity(figures in $M),ORCL,109297.0,131107.0,115438.0,108709.0
