,ticker,ttm,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Total revenue(figures in $M),ORCL,47958.0,42440.0,40479.0,39068.0,39506.0
Cost of revenue(figures in $M),ORCL,12231.0,8877.0,7855.0,7938.0,7995.0
Gross profit(figures in $M),ORCL,35727.0,33563.0,32624.0,31130.0,31511.0
Research development(figures in $M),ORCL,8454.0,7219.0,6527.0,6067.0,6026.0
Selling general and administrative(figures in $M),ORCL,10231.0,9364.0,8936.0,9275.0,9774.0
Total operating expenses(figures in $M),ORCL,21744.0,17733.0,16842.0,16928.0,17489.0
Operating income or loss(figures in $M),ORCL,13983.0,15830.0,15782.0,14202.0,14022.0
Interest expense(figures in $M),ORCL,3254.0,2755.0,2496.0,1995.0,2082.0
Total other income/expenses net(figures in $M),ORCL,-1306.0,-5426.0,-287.0,-144.0,328.0
Income before tax(figures in $M),ORCL,9641.0,7649.0,12999.0,12063.0,12268.0
Income tax expense(figures in $M),ORCL,1268.0,932.0,-747.0,1928.0,1185.0
Income from continuing operations(figures in $M),ORCL,8373.0,6717.0,13746.0,10135.0,11083.0
Net income(figures in $M),ORCL,8373.0,6717.0,13746.0,10135.0,11083.0
Net income available to common shareholders(figures in $M),ORCL,8373.0,6717.0,13746.0,10135.0,11083.0
Basic EPS(figures in $M),ORCL,,2.4900000000000003e-06,4.67e-06,3.1600000000000002e-06,3.05e-06
Diluted EPS(figures in $M),ORCL,,2.4100000000000002e-06,4.55e-06,3.08e-06,2.9700000000000004e-06
Basic average shares(figures in $M),ORCL,,2700.0,2945.0,3211.0,3634.0
Diluted average shares(figures in $M),ORCL,,2786.0,3022.0,3294.0,3732.0
EBITDA(figures in $M),ORCL,,13526.0,18411.0,17026.0,17269.0
