,ticker,2023,2024,2025,2026
Revenue(In $M),V,"32,569","36,180","40,167","41,410"
Dividend,V,1.81,1.99,2.15,2.23
Dividend Yield (in %),V,0.82 %,0.91 %,0.98 %,1.02 %
EPS,V,8.59,9.78,11.22,10.89
P/E Ratio,V,26.23,23.04,20.09,20.69
EBIT(In $M),V,"22,072","24,714","27,621","26,002"
EBITDA(In $M),V,"22,915","25,433","27,900","27,741"
Net Profit(In $M),V,"17,838","19,915","22,228","20,974"
Net Profit Adjusted(In $M),V,"17,849","19,914","22,293","20,974"
Pre-Tax Profit(In $M),V,"21,836","24,607","27,313","25,927"
Net Profit (Adjusted)(In $M),V,"21,538","24,312","26,656","25,827"
EPS (Non-GAAP) ex. SOE(In $),V,8.59,9.78,11.22,10.89
EPS (GAAP)(In $),V,8.37,9.66,11.07,10.89
Gross Income(In $M),V,"31,520","35,234","38,955",-
Cash Flow from Investing(In $M),V,-951,-989,-956,-
Cash Flow from Operations(In $M),V,"18,984","23,946","24,023","30,450"
Cash Flow from Financing(In $M),V,"-16,427","-16,610","-18,499",-
Cash Flow per Share(In $),V,9.76,12.11,12.72,13.44
Free Cash Flow(In $M),V,"18,685","22,309","22,219","22,235"
Free Cash Flow per Share(In $),V,8.09,9.97,11.44,-
Book Value per Share(In $),V,21.04,24.79,30.51,17.30
Net Debt(In $M),V,"2,022","-2,710","-9,936","-5,941"
Research & Development Exp.(In $M),V,"1,256","1,325",-,-
Capital Expenditure(In $M),V,773,885,743,"1,739"
"Selling, General & Admin. Exp.(In $M)",V,"5,574","6,263","10,397",-
Shareholder’s Equity(In $M),V,"40,491","44,444","51,317","31,016"
Total Assets(In $M),V,"89,632","94,395","102,648",-
