,ticker,2023,2024
Revenue(In $M),GNW,"7,674",-
Dividend,GNW,-,-
Dividend Yield (in %),GNW,-,-
EPS,GNW,0.90,0.95
P/E Ratio,GNW,5.25,4.97
EBIT(In $M),GNW,-,-
EBITDA(In $M),GNW,-,-
Net Profit(In $M),GNW,370,401
Net Profit Adjusted(In $M),GNW,470,501
Pre-Tax Profit(In $M),GNW,955,-
Net Profit (Adjusted)(In $M),GNW,-,-
EPS (Non-GAAP) ex. SOE(In $),GNW,0.90,0.95
EPS (GAAP)(In $),GNW,-,-
Gross Income(In $M),GNW,-,-
Cash Flow from Investing(In $M),GNW,-,-
Cash Flow from Operations(In $M),GNW,-,-
Cash Flow from Financing(In $M),GNW,-,-
Cash Flow per Share(In $),GNW,-,-
Free Cash Flow(In $M),GNW,-,-
Free Cash Flow per Share(In $),GNW,-,-
Book Value per Share(In $),GNW,26.32,27.80
Net Debt(In $M),GNW,-,-
Research & Development Exp.(In $M),GNW,-,-
Capital Expenditure(In $M),GNW,-,-
"Selling, General & Admin. Exp.(In $M)",GNW,-,-
Shareholder’s Equity(In $M),GNW,-,-
Total Assets(In $M),GNW,-,-
