,2022,2021,2020,2019,2018,ticker
Current ratio,0,0,0,0,0.026,GNW
Quick ratio,0,0,0,0,0.945,GNW
Cash ratio,0,0,0,0,0.026,GNW
Days of sales outstanding,799.091,783.548,709.048,771.072,748.098,GNW
Days of inventory outstanding,0,0,0,0,0,GNW
Days of payables outstanding,0,0,0,0,0,GNW
Gross profit margin,1,1,1,1,0,GNW
Operating profit margin,0.098,0.117,0.075,0.096,0,GNW
Pretax profit margin,0.130,0.151,0.119,0.088,0.053,GNW
Net profit margin,0.081,0.115,0.088,0.064,0.014,GNW
Effective tax rate,0.244,0.223,0.262,0.273,0.337,GNW
Return on assets,0.007,0.009,0.007,0.005,0.003,GNW
Return on equity,0.061,0.058,0.050,0.037,0.010,GNW
Return on capital employed,0.009,0.009,0.006,0.008,0,GNW
Net income per EBT,0.623,0.765,0.738,0.727,0.266,GNW
Ebt per ebit,1.323,1.286,1.586,0.919,0,GNW
Ebit per revenue,0.098,0.117,0.075,0.096,0,GNW
Debt ratio,0.876,0.836,0,0,2.102,GNW
Debt equity ratio,0.161,0.122,0.232,0.253,0.348,GNW
Long term debt to capitalization,0.139,0.109,0.188,0.202,0.258,GNW
Total debt to capitalization,0.139,0.109,0.188,0.202,0.258,GNW
Interest coverage,6.972,5.737,3.218,3.251,0,GNW
Cash flow to debt ratio,0.651,0.230,0.552,0.579,0.377,GNW
Company equity multiplier,8.658,6.394,6.903,7.144,3.314,GNW
Receivables turnover,0.457,0.466,0.515,0.473,0.488,GNW
Payables turnover,0,0,0,0,0,GNW
Inventory turnover,0,0,0,0,0,GNW
Fixed asset turnover,0,0,0,0,0,GNW
Asset turnover,0.087,0.079,0.082,0.080,0.204,GNW
Operating cash flow per share,2.079,0.862,3.880,4.134,3.263,GNW
Free cash flow per share,2.079,0.862,3.880,4.134,3.263,GNW
Cash per share,214.020,266.668,290.643,127.101,124.886,GNW
Payout ratio,0.076,0,0,0,0,GNW
Operating cash flow sales ratio,0.140,0.056,0.226,0.257,0.194,GNW
Free cash flow operating cash flow ratio,1,1,1,1,1,GNW
Cash flow coverage ratios,0.651,0.230,0.552,0.579,0.377,GNW
Short term coverage ratios,0,0,0,0,0,GNW
Capital expenditure coverage ratio,0,0,0,0,0,GNW
Dividend paid and capex coverage ratio,22.804,0,0,0,0,GNW
Dividend payout ratio,0.076,0,0,0,0,GNW
Price book value ratio,0.267,0.132,0.125,0.156,0.187,GNW
Price to book ratio,0.267,0.132,0.125,0.156,0.187,GNW
Price to sales ratio,0.356,0.262,0.221,0.273,0.277,GNW
Price earnings ratio,4.382,2.271,2.509,4.264,19.595,GNW
Price to free cash flows ratio,2.544,4.698,0.974,1.064,1.428,GNW
Price to operating cash flows ratio,2.544,4.698,0.974,1.064,1.428,GNW
Price cash flow ratio,2.544,4.698,0.974,1.064,1.428,GNW
Price earnings to growth ratio,-0.137,0.127,0.054,0.013,-0.230,GNW
Price sales ratio,0.356,0.262,0.221,0.273,0.277,GNW
Dividend yield,0.017,0,0,0,0,GNW
Enterprise value multiple,-59.864,-53.161,-115.553,3.166,113.896,GNW
Price fair value,0.267,0.132,0.125,0.156,0.187,GNW
