,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PBI,3538.042,3538.042,3673.561,3554.075,3205.125
Cost of revenue(figures in $M),PBI,2457.55,2457.55,2551.563,2406.223,1922.139
Gross profit(figures in $M),PBI,1080.492,1080.492,1121.998,1147.852,1282.986
Research development(figures in $M),PBI,43.657,43.657,46.777,38.384,51.258
Selling general and administrative(figures in $M),PBI,905.57,905.57,924.163,963.323,1003.989
Total operating expenses(figures in $M),PBI,949.227,949.227,970.94,1001.707,1055.247
Operating income or loss(figures in $M),PBI,131.265,131.265,151.058,146.145,227.739
Interest expense(figures in $M),PBI,89.98,89.98,96.886,105.753,110.91
Total other income/expenses net(figures in $M),PBI,-1.405,-1.405,-61.587,-225.324,-89.687
Income before tax(figures in $M),PBI,39.88,39.88,-7.415,-184.932,27.142
Income tax expense(figures in $M),PBI,2.94,2.94,-10.922,6.727,-13.007
Income from continuing operations(figures in $M),PBI,36.94,36.94,3.507,-191.659,40.149
Net income(figures in $M),PBI,36.94,36.94,-1.351,-181.544,194.609
Net income available to common shareholders(figures in $M),PBI,36.94,36.94,-1.351,-181.544,194.609
Basic EPS(figures in $M),PBI,,2.1e-07,-1e-08,-1.0500000000000001e-06,1.1e-06
Diluted EPS(figures in $M),PBI,,2.1e-07,-1e-08,-1.0500000000000001e-06,1.1e-06
Basic average shares(figures in $M),PBI,,173.912,135.1,171.519,176.251
Diluted average shares(figures in $M),PBI,,177.252,179.105,171.519,177.449
EBITDA(figures in $M),PBI,,129.86,89.471,-79.179,138.052
