,ticker,2023,2024
Revenue(In $M),PBI,"3,463","3,497"
Dividend,PBI,0.20,-
Dividend Yield (in %),PBI,5.30 %,-
EPS,PBI,0.14,0.22
P/E Ratio,PBI,20.15,13.13
EBIT(In $M),PBI,180,217
EBITDA(In $M),PBI,217,-
Net Profit(In $M),PBI,28,53
Net Profit Adjusted(In $M),PBI,28,53
Pre-Tax Profit(In $M),PBI,38,-
Net Profit (Adjusted)(In $M),PBI,-,-
EPS (Non-GAAP) ex. SOE(In $),PBI,0.14,0.22
EPS (GAAP)(In $),PBI,0.12,0.30
Gross Income(In $M),PBI,"1,171","1,213"
Cash Flow from Investing(In $M),PBI,-29,-201
Cash Flow from Operations(In $M),PBI,181,222
Cash Flow from Financing(In $M),PBI,-129,-225
Cash Flow per Share(In $),PBI,-,-
Free Cash Flow(In $M),PBI,54,88
Free Cash Flow per Share(In $),PBI,0.31,0.50
Book Value per Share(In $),PBI,1.08,0.90
Net Debt(In $M),PBI,-,-
Research & Development Exp.(In $M),PBI,-,-
Capital Expenditure(In $M),PBI,127,134
"Selling, General & Admin. Exp.(In $M)",PBI,-,-
Shareholder’s Equity(In $M),PBI,189,157
Total Assets(In $M),PBI,"4,792","4,609"
