,ticker,2023,2024,2025,2026
Revenue(In $M),MCHP,"8,430","8,711","8,782","10,000"
Dividend,MCHP,1.26,1.68,2.01,1.41
Dividend Yield (in %),MCHP,1.52 %,2.02 %,2.40 %,1.70 %
EPS,MCHP,6.00,6.25,6.31,7.05
P/E Ratio,MCHP,12.68,12.18,12.05,10.79
EBIT(In $M),MCHP,"3,953","4,033","4,074","4,537"
EBITDA(In $M),MCHP,"4,094","4,139","4,437","4,834"
Net Profit(In $M),MCHP,"3,344","3,415","3,480","3,598"
Net Profit Adjusted(In $M),MCHP,"3,344","3,415","3,480","3,598"
Pre-Tax Profit(In $M),MCHP,"3,745","3,804","3,826","3,441"
Net Profit (Adjusted)(In $M),MCHP,"2,893","2,898","2,970",-
EPS (Non-GAAP) ex. SOE(In $),MCHP,5.26,5.84,5.79,6.86
EPS (GAAP)(In $),MCHP,4.02,4.38,4.84,5.50
Gross Income(In $M),MCHP,"5,701","5,898","6,058","5,816"
Cash Flow from Investing(In $M),MCHP,-481,-493,-479,-
Cash Flow from Operations(In $M),MCHP,"3,740","3,666","3,699","4,875"
Cash Flow from Financing(In $M),MCHP,"-2,826","-2,121","-1,973",-
Cash Flow per Share(In $),MCHP,7.24,7.04,7.73,8.22
Free Cash Flow(In $M),MCHP,"3,134","3,144","3,168","3,762"
Free Cash Flow per Share(In $),MCHP,5.31,5.45,5.51,4.64
Book Value per Share(In $),MCHP,11.72,13.36,14.98,19.80
Net Debt(In $M),MCHP,"5,455","4,165","3,477","-1,212"
Research & Development Exp.(In $M),MCHP,"1,050","1,134","1,200","1,500"
Capital Expenditure(In $M),MCHP,525,498,496,509
"Selling, General & Admin. Exp.(In $M)",MCHP,755,802,835,950
Shareholder’s Equity(In $M),MCHP,"6,571","7,497","8,586","10,710"
Total Assets(In $M),MCHP,"16,294","16,654","17,489",-
