,ticker,ttm,2022-03-31,2021-03-31,2020-03-31
Total revenue(figures in $M),MCHP,8050.2,6820.9,5438.4,5274.2
Cost of revenue(figures in $M),MCHP,2651.2,2371.3,2059.6,2032.1
Gross profit(figures in $M),MCHP,5399.0,4449.6,3378.8,3242.1
Research development(figures in $M),MCHP,1079.1,989.1,836.4,877.8
Selling general and administrative(figures in $M),MCHP,781.4,718.9,610.3,676.6
Total operating expenses(figures in $M),MCHP,2578.5,2570.5,2379.0,2548.3
Operating income or loss(figures in $M),MCHP,2820.5,1879.1,999.8,693.8
Interest expense(figures in $M),MCHP,204.8,245.5,339.8,497.3
Total other income/expenses net(figures in $M),MCHP,-20.3,-396.6,-660.3,-543.4
Income before tax(figures in $M),MCHP,2587.1,1482.5,339.5,150.4
Income tax expense(figures in $M),MCHP,515.5,197.0,-9.9,-420.2
Income from continuing operations(figures in $M),MCHP,2071.6,1285.5,349.4,570.6
Net income(figures in $M),MCHP,2071.6,1285.5,349.4,570.6
Net income available to common shareholders(figures in $M),MCHP,2071.6,1285.5,349.4,570.6
Basic EPS(figures in $M),MCHP,,2.33e-06,6.7e-07,1.19e-06
Diluted EPS(figures in $M),MCHP,,2.27e-06,6.5e-07,1.1100000000000002e-06
Basic average shares(figures in $M),MCHP,,552.3,519.2,477.7
Diluted average shares(figures in $M),MCHP,,565.9,541.2,512.4
EBITDA(figures in $M),MCHP,,2741.6,1932.1,1687.7
