,ticker,2023,2024,2025,2026,2027
Revenue(In $M),LSI,"1,116","1,213",-,"1,403","1,497"
Dividend,LSI,4.83,5.04,5.37,4.80,4.80
Dividend Yield (in %),LSI,4.05 %,4.25 %,4.51 %,4.01 %,4.01 %
EPS,LSI,4.56,4.96,5.42,5.27,5.49
P/E Ratio,LSI,28.50,26.24,24.01,24.68,23.69
EBIT(In $M),LSI,531,583,641,-,-
EBITDA(In $M),LSI,727,785,872,989,-
Net Profit(In $M),LSI,395,432,484,485,512
Net Profit Adjusted(In $M),LSI,393,434,484,485,512
Pre-Tax Profit(In $M),LSI,404,455,506,496,-
Net Profit (Adjusted)(In $M),LSI,392,435,487,-,-
EPS (Non-GAAP) ex. SOE(In $),LSI,4.51,4.87,5.18,-,-
EPS (GAAP)(In $),LSI,4.51,4.82,5.18,-,-
Gross Income(In $M),LSI,753,804,931,950,"1,014"
Cash Flow from Investing(In $M),LSI,-378,-616,-818,-,-
Cash Flow from Operations(In $M),LSI,601,661,735,-,-
Cash Flow from Financing(In $M),LSI,-221,-49,93,-,-
Cash Flow per Share(In $),LSI,6.94,7.50,8.10,-,-
Free Cash Flow(In $M),LSI,703,763,839,-,-
Free Cash Flow per Share(In $),LSI,-,-,-,-,-
Book Value per Share(In $),LSI,46.04,48.66,52.32,-,-
Net Debt(In $M),LSI,"3,390","3,563","3,749","4,237","4,467"
Research & Development Exp.(In $M),LSI,-,-,-,-,-
Capital Expenditure(In $M),LSI,36,38,33,-,-
"Selling, General & Admin. Exp.(In $M)",LSI,78,79,80,-,-
Shareholder’s Equity(In $M),LSI,"3,383","3,541","4,295",-,-
Total Assets(In $M),LSI,"6,585","6,841","8,510",-,-
