,2022,2021,2020,2019,2018,ticker
Current ratio,0.078,1.257,0.609,0.215,0.158,LSI
Quick ratio,0.065,1.194,0.545,0.171,0.119,LSI
Cash ratio,0.031,1.081,0.418,0.097,0.072,LSI
Days of sales outstanding,9.219,8.577,10.832,9.399,5.838,LSI
Days of inventory outstanding,0,0,0,0,0,LSI
Operating cycle,9.219,8.577,10.832,9.399,5.838,LSI
Days of payables outstanding,0,0,0,0,0,LSI
Cash conversion cycle,9.219,8.577,10.832,9.399,5.838,LSI
Gross profit margin,0.697,0.680,0.626,0.628,0.669,LSI
Operating profit margin,0.457,0.431,0.419,0.434,0.498,LSI
Pretax profit margin,0.360,0.327,0.274,0.495,0.377,LSI
Net profit margin,0.255,0.219,0.272,0.695,0.375,LSI
Effective tax rate,0.291,0.330,0.003,-0.403,0,LSI
Return on assets,0.035,0.026,0.032,0.086,0.053,LSI
Return on equity,0.072,0.050,0.064,0.171,0.100,LSI
Return on capital employed,0.070,0.052,0.051,0.056,0.074,LSI
Net income per EBT,0.709,0.670,0.995,1.403,0.995,LSI
Ebt per ebit,0.788,0.759,0.652,1.140,0.757,LSI
Ebit per revenue,0.457,0.431,0.419,0.434,0.498,LSI
Debt ratio,0.482,0.449,0.491,0.490,0.471,LSI
Debt equity ratio,0.934,0.824,0.922,0.918,0.833,LSI
Long term debt to capitalization,0.435,0.452,0.480,0.470,0.441,LSI
Total debt to capitalization,0.483,0.452,0.480,0.479,0.454,LSI
Interest coverage,4.390,3.946,2.934,3.077,3.878,LSI
Cash flow to debt ratio,0.173,0.156,0.136,0.142,0.153,LSI
Company equity multiplier,2.039,1.940,1.988,1.985,1.892,LSI
Receivables turnover,39.593,42.556,33.698,38.835,62.518,LSI
Payables turnover,0,0,0,0,0,LSI
Inventory turnover,0,0,0,0,0,LSI
Fixed asset turnover,0,0,0,0,0,LSI
Asset turnover,0.138,0.118,0.118,0.124,0.142,LSI
Operating cash flow per share,6.960,5.533,4.208,3.991,3.760,LSI
Free cash flow per share,6.960,5.533,4.208,3.991,3.760,LSI
Cash per share,0.289,2.191,0.766,0.250,0.194,LSI
Payout ratio,1.351,1.427,1.335,0.511,0.900,LSI
Operating cash flow sales ratio,0.576,0.563,0.537,0.531,0.476,LSI
Free cash flow operating cash flow ratio,1,1,1,1,1,LSI
Cash flow coverage ratios,0.173,0.156,0.136,0.142,0.153,LSI
Short term coverage ratios,0.986,0,0,4.290,2.882,LSI
Capital expenditure coverage ratio,0,0,0,0,0,LSI
Dividend paid and capex coverage ratio,1.672,1.799,1.477,1.495,1.411,LSI
Dividend payout ratio,1.351,1.427,1.335,0.511,0.900,LSI
Price book value ratio,2.293,3.555,2.378,2.365,2.101,LSI
Price to book ratio,2.293,3.555,2.378,2.365,2.101,LSI
Price to sales ratio,8.158,15.581,10.154,9.607,7.850,LSI
Price earnings ratio,31.979,71.061,37.313,13.826,20.931,LSI
Price to free cash flows ratio,14.153,27.686,18.917,18.089,16.485,LSI
Price to operating cash flows ratio,14.153,27.686,18.917,18.089,16.485,LSI
Price cash flow ratio,14.153,27.686,18.917,18.089,16.485,LSI
Price earnings to growth ratio,0.751,50.453,-0.630,0.181,0.184,LSI
Price sales ratio,8.158,15.581,10.154,9.607,7.850,LSI
Dividend yield,0.042,0.020,0.036,0.037,0.043,LSI
Enterprise value multiple,17.723,30.248,21.983,20.839,15.863,LSI
Price fair value,2.293,3.555,2.378,2.365,2.101,LSI
