,ticker,2023,2024,2025,2026,2027
Revenue(In $M),ACN,"64,355","68,625","73,961","85,080","92,737"
Dividend,ACN,4.37,4.72,5.20,-,-
Dividend Yield (in %),ACN,1.73 %,1.89 %,2.05 %,-,-
EPS,ACN,11.61,12.50,13.87,-,-
P/E Ratio,ACN,23.70,22.01,19.83,-,-
EBIT(In $M),ACN,"9,723","10,510","11,625",-,-
EBITDA(In $M),ACN,-,-,-,-,-
Net Profit(In $M),ACN,"7,401","7,966","8,792",-,-
Net Profit Adjusted(In $M),ACN,"7,404","7,966","8,807",-,-
Pre-Tax Profit(In $M),ACN,"9,683","10,486","11,563",-,-
Net Profit (Adjusted)(In $M),ACN,"9,449","10,173","11,590",-,-
EPS (Non-GAAP) ex. SOE(In $),ACN,11.61,12.50,13.86,-,-
EPS (GAAP)(In $),ACN,11.13,12.10,13.91,-,-
Gross Income(In $M),ACN,"20,642","21,948","20,601",-,-
Cash Flow from Investing(In $M),ACN,"-1,872","-2,075","-2,126",-,-
Cash Flow from Operations(In $M),ACN,"9,581","11,106","12,613",-,-
Cash Flow from Financing(In $M),ACN,"-5,398","-4,835","-6,050",-,-
Cash Flow per Share(In $),ACN,14.88,16.65,19.37,-,-
Free Cash Flow(In $M),ACN,"8,274","9,702","11,121",-,-
Free Cash Flow per Share(In $),ACN,13.13,15.46,-,-,-
Book Value per Share(In $),ACN,40.86,47.99,56.52,-,-
Net Debt(In $M),ACN,"-8,964","-10,926","-14,181",-,-
Research & Development Exp.(In $M),ACN,-,-,-,-,-
Capital Expenditure(In $M),ACN,649,862,970,-,-
"Selling, General & Admin. Exp.(In $M)",ACN,"10,819","11,644","12,279",-,-
Shareholder’s Equity(In $M),ACN,"25,868","29,926","35,399",-,-
Total Assets(In $M),ACN,"51,145","55,722","63,826",-,-
