,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),-1519.0,-1519.0,1783.0,1081.0,1184.0,WHR
Depreciation & amortisation(figures in $M),475.0,475.0,494.0,568.0,587.0,WHR
Change in working capital(figures in $M),173.0,173.0,23.0,-139.0,-118.0,WHR
Accounts receivable(figures in $M),854.0,854.0,-232.0,-940.0,-87.0,WHR
Inventory(figures in $M),-49.0,-49.0,-648.0,241.0,-39.0,WHR
Accounts payable(figures in $M),-612.0,-612.0,949.0,341.0,140.0,WHR
Other working capital(figures in $M),820.0,820.0,1651.0,1090.0,698.0,WHR
Net cash provided by operating activities(figures in $M),1390.0,1390.0,2176.0,1500.0,1230.0,WHR
"Investments in property, plant and equipment(figures in $M)",-570.0,-570.0,-525.0,-410.0,-532.0,WHR
"Acquisitions, net(figures in $M)",-3075.0,-3075.0,-439.0,0.0,0.0,WHR
Purchases of investments(figures in $M),0.0,0.0,0.0,0.0,0.0,WHR
Sales/maturities of investments(figures in $M),0.0,0.0,0.0,0.0,0.0,WHR
Other investing activities(figures in $M),77.0,77.0,304.0,173.0,1168.0,WHR
Net cash used for investing activities(figures in $M),-3568.0,-3568.0,-660.0,-237.0,636.0,WHR
Debt repayment(figures in $M),-300.0,-300.0,-300.0,-569.0,-949.0,WHR
Common stock issued(figures in $M),3.0,3.0,76.0,44.0,8.0,WHR
Common stock repurchased(figures in $M),-903.0,-903.0,-1041.0,-121.0,-148.0,WHR
Dividends paid(figures in $M),-390.0,-390.0,-338.0,-311.0,-305.0,WHR
Other financing activities(figures in $M),0.0,0.0,-35.0,1.0,-7.0,WHR
Net cash used provided by (used for) financing activities(figures in $M),1206.0,1206.0,-1339.0,-253.0,-1424.0,WHR
Net change in cash(figures in $M),-1086.0,-1086.0,110.0,982.0,414.0,WHR
Cash at beginning of period(figures in $M),3044.0,3044.0,2934.0,1952.0,1538.0,WHR
Cash at end of period(figures in $M),1958.0,1958.0,3044.0,2934.0,1952.0,WHR
Operating cash flow(figures in $M),1390.0,1390.0,2176.0,1500.0,1230.0,WHR
Capital expenditure(figures in $M),-570.0,-570.0,-525.0,-410.0,-532.0,WHR
Free cash flow(figures in $M),820.0,820.0,1651.0,1090.0,698.0,WHR
