,ticker,2023,2024,2025,2026
Revenue(In $M),WHR,"19,213","17,927","19,070","20,742"
Dividend,WHR,-,7.00,7.00,-
Dividend Yield (in %),WHR,4.55 %,5.30 %,5.30 %,-
EPS,WHR,15.92,17.79,18.88,13.50
P/E Ratio,WHR,8.69,7.78,7.33,10.25
EBIT(In $M),WHR,"1,379","1,534","1,679","1,396"
EBITDA(In $M),WHR,"1,788","1,969","2,163","1,834"
Net Profit(In $M),WHR,664,963,"1,024",674
Net Profit Adjusted(In $M),WHR,881,970,"1,037",711
Pre-Tax Profit(In $M),WHR,860,"1,257","1,373",907
Net Profit (Adjusted)(In $M),WHR,803,"1,239","1,368",907
EPS (Non-GAAP) ex. SOE(In $),WHR,15.92,17.79,18.88,13.50
EPS (GAAP)(In $),WHR,11.09,17.78,19.16,12.79
Gross Income(In $M),WHR,"3,397","3,236","3,654","3,708"
Cash Flow from Investing(In $M),WHR,-585,-527,-532,-553
Cash Flow from Operations(In $M),WHR,960,"1,467","1,726","1,352"
Cash Flow from Financing(In $M),WHR,"-1,424","-1,267",-11,30
Cash Flow per Share(In $),WHR,6.04,13.15,-,-
Free Cash Flow(In $M),WHR,432,968,"1,170",799
Free Cash Flow per Share(In $),WHR,14.29,15.14,15.24,15.16
Book Value per Share(In $),WHR,46.43,53.96,33.24,9.44
Net Debt(In $M),WHR,"5,741","5,325","4,751",-
Research & Development Exp.(In $M),WHR,-,-,-,-
Capital Expenditure(In $M),WHR,576,543,556,553
"Selling, General & Admin. Exp.(In $M)",WHR,"1,984","1,644","1,881","2,205"
Shareholder’s Equity(In $M),WHR,"2,638","2,997","1,786",491
Total Assets(In $M),WHR,"16,498","16,042","17,248","17,539"
