,ticker,2023,2024,2025,2026
Revenue(In $M),DRI,"10,481","11,066","11,700","12,380"
Dividend,DRI,4.89,5.38,5.93,6.60
Dividend Yield (in %),DRI,3.31 %,3.60 %,3.86 %,4.47 %
EPS,DRI,7.98,8.81,9.71,11.24
P/E Ratio,DRI,19.00,17.22,15.62,13.49
EBIT(In $M),DRI,"1,199","1,303","1,404","1,599"
EBITDA(In $M),DRI,"1,590","1,714","1,836",-
Net Profit(In $M),DRI,976,"1,060","1,142","1,230"
Net Profit Adjusted(In $M),DRI,976,"1,060","1,143","1,230"
Pre-Tax Profit(In $M),DRI,"1,123","1,224","1,323","1,406"
Net Profit (Adjusted)(In $M),DRI,"1,116","1,223","1,347",-
EPS (Non-GAAP) ex. SOE(In $),DRI,7.98,8.81,9.71,11.24
EPS (GAAP)(In $),DRI,7.95,8.79,9.64,11.24
Gross Income(In $M),DRI,"2,096","2,274","2,428",-
Cash Flow from Investing(In $M),DRI,-430,-411,-381,-619
Cash Flow from Operations(In $M),DRI,"1,508","1,585","1,715","1,903"
Cash Flow from Financing(In $M),DRI,"-1,059",-935,"-1,140","-1,333"
Cash Flow per Share(In $),DRI,11.60,12.35,13.77,-
Free Cash Flow(In $M),DRI,954,"1,040","1,177",-
Free Cash Flow per Share(In $),DRI,7.27,7.81,-,-
Book Value per Share(In $),DRI,17.53,18.39,20.66,-
Net Debt(In $M),DRI,571,592,561,-
Research & Development Exp.(In $M),DRI,-,-,-,-
Capital Expenditure(In $M),DRI,563,533,558,620
"Selling, General & Admin. Exp.(In $M)",DRI,490,533,584,-
Shareholder’s Equity(In $M),DRI,"2,022","2,022","2,164",995
Total Assets(In $M),DRI,"9,653","9,868","10,296","10,216"
