,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NKE,"50,954","54,641","59,314","63,921","70,703"
Dividend,NKE,1.29,1.41,1.55,1.93,2.36
Dividend Yield (in %),NKE,1.09 %,1.20 %,1.30 %,1.63 %,1.99 %
EPS,NKE,3.23,4.03,4.81,5.28,6.75
P/E Ratio,NKE,38.33,30.72,25.75,23.43,18.34
EBIT(In $M),NKE,"6,011","7,450","8,756","9,789","12,131"
EBITDA(In $M),NKE,"6,828","8,214","9,587","10,709","12,816"
Net Profit(In $M),NKE,"5,075","6,213","7,308","8,103","10,002"
Net Profit Adjusted(In $M),NKE,"5,077","6,216","7,303","8,073",-
Pre-Tax Profit(In $M),NKE,"6,199","7,431","8,731","9,484","12,051"
Net Profit (Adjusted)(In $M),NKE,"6,384","7,680","8,805",-,-
EPS (Non-GAAP) ex. SOE(In $),NKE,3.23,4.03,4.81,5.28,6.75
EPS (GAAP)(In $),NKE,3.28,4.10,4.88,5.83,6.75
Gross Income(In $M),NKE,"22,233","24,828","27,495","30,482","33,672"
Cash Flow from Investing(In $M),NKE,-451,"-1,078","-1,043","-1,943","-2,106"
Cash Flow from Operations(In $M),NKE,"5,914","7,548","8,440","9,143","10,161"
Cash Flow from Financing(In $M),NKE,"-6,120","-6,540","-7,724","-7,762","-7,589"
Cash Flow per Share(In $),NKE,3.89,4.69,5.38,-,-
Free Cash Flow(In $M),NKE,"3,986","5,749","6,516","6,720","8,039"
Free Cash Flow per Share(In $),NKE,2.62,3.92,4.40,4.78,5.42
Book Value per Share(In $),NKE,9.22,9.72,27.08,-,-
Net Debt(In $M),NKE,-76,-277,-698,845,"1,027"
Research & Development Exp.(In $M),NKE,-,-,-,-,-
Capital Expenditure(In $M),NKE,"1,273","1,435","1,546","1,857","2,121"
"Selling, General & Admin. Exp.(In $M)",NKE,"16,249","17,384","18,850","20,551","21,541"
Shareholder’s Equity(In $M),NKE,"14,119","14,285","14,764","16,778","19,070"
Total Assets(In $M),NKE,"39,759","40,157","40,008","41,774","44,771"
